models,abilities,model_droped
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5514417,kmeans_n_clusters_1
kmeans_n_clusters_2,0.5506072,kmeans_n_clusters_1
kmeans_n_clusters_5,0.54562485,kmeans_n_clusters_1
kmeans_n_clusters_3,0.54545,kmeans_n_clusters_1
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.53657466,kmeans_n_clusters_1
mean_shift_,0.5282189,kmeans_n_clusters_1
optics_,0.5201603,kmeans_n_clusters_1
dbscan_eps_np_float640_3_min_samples_2,0.5186751,kmeans_n_clusters_1
dbscan_eps_np_float640_2_min_samples_2,0.5186751,kmeans_n_clusters_1
dbscan_eps_np_float640_1_min_samples_2,0.5186751,kmeans_n_clusters_1
dbscan_eps_np_float640_8_min_samples_2,0.5186751,kmeans_n_clusters_1
dbscan_eps_np_float640_9_min_samples_2,0.5186751,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.5186751,kmeans_n_clusters_1
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.5186751,kmeans_n_clusters_1
dbscan_eps_np_float640_7_min_samples_2,0.5186751,kmeans_n_clusters_1
dbscan_eps_np_float640_6_min_samples_2,0.5186751,kmeans_n_clusters_1
dbscan_eps_np_float640_5_min_samples_2,0.5186751,kmeans_n_clusters_1
dbscan_eps_np_float640_4_min_samples_2,0.5186751,kmeans_n_clusters_1
kmeans_n_clusters_4,0.5065125,kmeans_n_clusters_1
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.49055398,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.4880071,kmeans_n_clusters_1
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.47414294,kmeans_n_clusters_1
kmeans_n_clusters_6,0.4685855,kmeans_n_clusters_1
kmeans_n_clusters_7,0.46458313,kmeans_n_clusters_1
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.46090075,kmeans_n_clusters_1
kmeans_n_clusters_8,0.45508224,kmeans_n_clusters_1
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.45293826,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.45287704,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.44188556,kmeans_n_clusters_1
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.44012955,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.43407777,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.42835543,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.42316952,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.4205557,kmeans_n_clusters_1
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.55246997,kmeans_n_clusters_2
kmeans_n_clusters_5,0.5468665,kmeans_n_clusters_2
kmeans_n_clusters_3,0.54650444,kmeans_n_clusters_2
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5375945,kmeans_n_clusters_2
mean_shift_,0.5301396,kmeans_n_clusters_2
optics_,0.5221728,kmeans_n_clusters_2
kmeans_n_clusters_1,0.52064294,kmeans_n_clusters_2
dbscan_eps_np_float640_3_min_samples_2,0.52064294,kmeans_n_clusters_2
dbscan_eps_np_float640_2_min_samples_2,0.52064294,kmeans_n_clusters_2
dbscan_eps_np_float640_1_min_samples_2,0.52064294,kmeans_n_clusters_2
dbscan_eps_np_float640_8_min_samples_2,0.52064294,kmeans_n_clusters_2
dbscan_eps_np_float640_9_min_samples_2,0.52064294,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.52064294,kmeans_n_clusters_2
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.52064294,kmeans_n_clusters_2
dbscan_eps_np_float640_7_min_samples_2,0.52064294,kmeans_n_clusters_2
dbscan_eps_np_float640_6_min_samples_2,0.52064294,kmeans_n_clusters_2
dbscan_eps_np_float640_5_min_samples_2,0.52064294,kmeans_n_clusters_2
dbscan_eps_np_float640_4_min_samples_2,0.52064294,kmeans_n_clusters_2
kmeans_n_clusters_4,0.50737643,kmeans_n_clusters_2
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.49110818,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.48908308,kmeans_n_clusters_2
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.47453406,kmeans_n_clusters_2
kmeans_n_clusters_6,0.46915272,kmeans_n_clusters_2
kmeans_n_clusters_7,0.46503896,kmeans_n_clusters_2
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.4613863,kmeans_n_clusters_2
kmeans_n_clusters_8,0.4555224,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.45360446,kmeans_n_clusters_2
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4533564,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.44273296,kmeans_n_clusters_2
