,difficulty,discrimination
0,0.36587372,0.9625986
1,0.40158,0.9484962
2,0.38497913,0.92808527
3,0.40966114,0.96336627
4,0.4022724,0.953918
5,0.41318813,0.9586375
6,0.39567733,0.9385335
7,0.40934923,0.9618116
8,0.39066795,0.92569333
9,0.399877,0.9531058
10,0.4019102,0.9546201
11,0.41234374,0.95727473
12,0.4099886,0.9600651
13,0.35306486,0.9553469
14,0.403371,0.95180833
15,0.3580362,0.95935214
16,0.41068032,0.9591165
17,0.36397624,0.9618264
18,0.35069126,0.9537463
19,0.41056734,0.96691763
20,0.39461628,0.9230259
21,0.35608464,0.95824623
22,0.4017149,0.94355804
23,0.40215263,0.9415216
24,0.35693997,0.9588813
25,0.40327644,0.95530325
26,0.40279168,0.95400476
27,0.36260018,0.9613627
28,0.4022177,0.94864285
29,0.40094846,0.9525271
30,0.41124648,0.9633961
31,0.3576955,0.95952165
32,0.3546404,0.955051
33,0.39871514,0.94077
34,0.40249377,0.95143515
35,0.41086492,0.96402293
36,0.4103652,0.9435307
37,0.35960492,0.9595077
38,0.348873,0.9527163
39,0.40262577,0.9512583
40,0.35268137,0.9544401
41,0.39848536,0.93679893
42,0.4107727,0.9556031
43,0.38720793,0.9205566
44,0.40971896,0.9632604
45,0.40924537,0.9633357
46,0.40461022,0.9560737
47,0.3592239,0.9594481
48,0.40689558,0.9569222
49,0.3904868,0.91197103
50,0.4009595,0.9574406
51,0.39672664,0.9349667
52,0.35595793,0.9587706
53,0.40154302,0.9524146
54,0.3635774,0.961733
55,0.40379322,0.9499717
56,0.41033548,0.957252
57,0.40978187,0.94259053
58,0.363193,0.9615991
59,0.39654776,0.9479036
60,0.3962776,0.94029385
61,0.41071856,0.9638226
62,0.39691535,0.92772907
63,0.3500956,0.9540083
64,0.4004235,0.9479268
65,0.3601836,0.9521341
66,0.40204436,0.9500299
67,0.40967393,0.96497667
68,0.40958238,0.96253425
69,0.40394297,0.95376873
70,0.4037368,0.9529837
71,0.40307203,0.9545495
72,0.40278965,0.9542222
73,0.40884018,0.9436188
74,0.41013023,0.9636068
75,0.40209955,0.9536354
76,0.4107933,0.9559912
77,0.36099312,0.9603938
78,0.41189623,0.9655281
79,0.4121792,0.96443295
80,0.41226694,0.961767
81,0.39981258,0.94158655
82,0.39911005,0.94020283
83,0.3894098,0.9139618
84,0.40163216,0.95040596
85,0.40768814,0.9649037
86,0.35264692,0.95412415
87,0.41071942,0.96601456
88,0.3589484,0.95930576
89,0.4005141,0.94844055
90,0.41148123,0.9640932
91,0.40208915,0.9500743
92,0.38953677,0.91946584
93,0.40962565,0.9606321
94,0.40916425,0.962628
95,0.3578201,0.9594311
96,0.35334918,0.9556919
97,0.4044451,0.9527428
98,0.39897394,0.92573094
99,0.4031866,0.9545209
100,0.35791975,0.9593514
101,0.40306887,0.95829093
102,0.35645455,0.9495309
103,0.39970106,0.9263343
104,0.40080768,0.9499617
105,0.40624988,0.9513608
106,0.346785,0.95252883
107,0.3962553,0.9468739
108,0.41105166,0.9652105
109,0.40596282,0.94277006
110,0.4005925,0.926108
111,0.3974131,0.93908453
112,0.40088397,0.95063376
113,0.39577252,0.94020975
114,0.40276676,0.95323163
115,0.40646872,0.95321786
116,0.36321574,0.9617814
117,0.39468375,0.9346114
118,0.39842537,0.9389527
119,0.4096613,0.96626276
120,0.40690282,0.9524887
121,0.35639745,0.95893717
122,0.41243806,0.9566965
123,0.39962125,0.93587965
124,0.4103834,0.9642663
125,0.3566555,0.9593133
126,0.40368426,0.9550526
127,0.40289423,0.9506291
128,0.3578129,0.9590091
129,0.41062322,0.9577148
130,0.40940621,0.9571916
131,0.3630238,0.9613257
132,0.41006202,0.9638755
133,0.4030622,0.95328504
134,0.4100539,0.9627386
135,0.39677104,0.9475304
136,0.36367077,0.96194506
137,0.35903355,0.9599897
138,0.39911294,0.93882716
139,0.36499158,0.9625499
140,0.3975553,0.93603885
141,0.40833926,0.9661645
142,0.34984413,0.95311695
143,0.3577529,0.9590448
144,0.3622013,0.9612415
145,0.40927523,0.95531106
146,0.3988269,0.94095916
147,0.35898027,0.9592983
148,0.36656502,0.9629892
149,0.39687985,0.9379939
150,0.3507075,0.9542013
151,0.40130115,0.9538151
152,0.36289945,0.9615862
153,0.3538322,0.95515335
154,0.3640214,0.9620244
155,0.39770666,0.93981355
156,0.40947142,0.96678555
157,0.4097537,0.9489469
158,0.4032867,0.95003986
159,0.40212974,0.9556472
160,0.4017314,0.928632
161,0.35688397,0.9591654
162,0.40533024,0.9565558
163,0.3620216,0.9614653
164,0.34750542,0.953747
165,0.4092034,0.9635963
166,0.40413934,0.9528043
