,abilities
kmeans_n_clusters_1,0.32814708
kmeans_n_clusters_2,0.47796482
kmeans_n_clusters_3,0.5182564
kmeans_n_clusters_4,0.51243114
kmeans_n_clusters_5,0.5024422
kmeans_n_clusters_6,0.49319437
kmeans_n_clusters_7,0.489123
kmeans_n_clusters_8,0.48631895
dbscan_eps_0_1_min_samples_2,0.51464796
dbscan_eps_0_2_min_samples_2,0.51803035
dbscan_eps_0_3_min_samples_2,0.5182564
dbscan_eps_0_4_min_samples_2,0.5182564
dbscan_eps_0_5_min_samples_2,0.47796482
dbscan_eps_0_6_min_samples_2,0.47796482
dbscan_eps_0_7_min_samples_2,0.47796482
dbscan_eps_0_8_min_samples_2,0.47796482
dbscan_eps_0_9_min_samples_2,0.47796482
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.32814708
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.47796482
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.5182564
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5122087
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.50322187
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.4841746
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.49498352
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5092575
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.32814708
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.43391523
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.47117764
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.5105628
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.47979292
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.49559188
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4910313
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.48697546
mean_shift_,0.5182564
optics_,0.3986852
random_model_n1,0.41044882
random_model_n2,0.4107201
random_model_n3,0.4107968
random_model_n4,0.4107309
random_model_n5,0.4105526
random_model_n6,0.41074035
random_model_n7,0.41083223
random_model_n8,0.41085368
random_model_n9,0.410457
random_model_n10,0.41076964
random_model_n11,0.41065833
random_model_n12,0.41112715
random_model_n13,0.41021013
random_model_n14,0.41074678
random_model_n15,0.4104623
average_model,0.47445157
optimal_clustering,0.5182571
