,abilities
kmeans_n_clusters_1,0.425414
kmeans_n_clusters_2,0.49845865
kmeans_n_clusters_3,0.51234984
kmeans_n_clusters_4,0.5131448
kmeans_n_clusters_5,0.5106136
kmeans_n_clusters_6,0.5126514
kmeans_n_clusters_7,0.5103518
kmeans_n_clusters_8,0.5090468
dbscan_eps_0_1_min_samples_2,0.5061043
dbscan_eps_0_2_min_samples_2,0.51430863
dbscan_eps_0_3_min_samples_2,0.42573866
dbscan_eps_0_4_min_samples_2,0.42573866
dbscan_eps_0_5_min_samples_2,0.42573866
dbscan_eps_0_6_min_samples_2,0.425414
dbscan_eps_0_7_min_samples_2,0.425414
dbscan_eps_0_8_min_samples_2,0.425414
dbscan_eps_0_9_min_samples_2,0.425414
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.425414
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.49948016
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.51319724
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.51161295
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5090547
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.5125867
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.51025283
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5084594
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.425414
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.49907422
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.51468575
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.50514644
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5140028
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5121746
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.50954497
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.50811595
mean_shift_,0.49891916
optics_,0.47256786
random_model_n1,0.46732736
random_model_n2,0.46749276
random_model_n3,0.46715653
random_model_n4,0.46709928
random_model_n5,0.4673612
random_model_n6,0.4674053
random_model_n7,0.46709636
random_model_n8,0.4673417
random_model_n9,0.4671083
random_model_n10,0.46712193
random_model_n11,0.4673697
random_model_n12,0.46720952
random_model_n13,0.46702915
random_model_n14,0.4670788
random_model_n15,0.4672622
random_model_n16,0.46719489
average_model,0.47890067
optimal_clustering,0.51772827
