,difficulty,discrimination
0,0.44407904,0.98409915
1,0.44519863,0.98453003
2,0.4585543,0.9188001
3,0.4471878,0.97250724
4,0.45155573,0.9871883
5,0.44916937,0.9848533
6,0.4568504,0.97387373
7,0.47254825,0.8468026
8,0.44683146,0.9783235
9,0.44713128,0.98131937
10,0.46715635,0.8668293
11,0.45335326,0.9785523
12,0.45188445,0.9865809
13,0.453493,0.9888867
14,0.4466114,0.98440623
15,0.44398102,0.98148084
16,0.4445572,0.9859562
17,0.45773226,0.98812956
18,0.45443195,0.97819984
19,0.4673358,0.86669886
20,0.44614226,0.98210907
21,0.44226968,0.97107387
22,0.44768554,0.9864819
23,0.4531098,0.98595524
24,0.45595962,0.97499377
25,0.471696,0.8509578
26,0.4519135,0.9837866
27,0.45537448,0.9835674
28,0.44530585,0.97658604
29,0.44518474,0.9840713
30,0.45129058,0.9864366
31,0.44808474,0.9798598
32,0.46593112,0.86392915
33,0.4452234,0.9855226
34,0.45397055,0.96697724
35,0.45297077,0.9873099
36,0.44442928,0.9783222
37,0.45502788,0.98639846
38,0.44537804,0.98268706
39,0.4419016,0.98379785
40,0.4836585,0.8301542
41,0.44799635,0.98305
42,0.44787267,0.98287416
43,0.44478828,0.9845099
44,0.45888576,0.91907114
45,0.4541684,0.9847745
46,0.44410595,0.98097587
47,0.45341602,0.9886002
48,0.4465099,0.98173183
49,0.4521025,0.97507435
50,0.4464323,0.9878763
51,0.44491115,0.9726191
52,0.44487694,0.98383236
53,0.44317055,0.9793838
54,0.45332193,0.98679614
55,0.46386424,0.8754398
56,0.44695145,0.97862005
57,0.45354208,0.98670864
58,0.47461766,0.8494285
59,0.4475388,0.98932785
60,0.44473654,0.98515326
61,0.45516062,0.98711586
62,0.45989427,0.9110685
63,0.44626027,0.97979623
64,0.44525874,0.9749925
65,0.44716012,0.9741691
66,0.44614774,0.9893847
67,0.4738385,0.84324086
68,0.4566402,0.9882406
69,0.45404527,0.9863732
70,0.45810738,0.96608174
71,0.44539863,0.97821176
72,0.4472059,0.9888674
73,0.44567624,0.9824792
74,0.4518557,0.98794293
75,0.47606865,0.82518655
76,0.46486196,0.87566066
77,0.45668852,0.9649747
78,0.45526397,0.98940176
79,0.44517472,0.9836552
80,0.45273998,0.9881362
81,0.4494993,0.9752761
82,0.46163562,0.87238747
83,0.44805786,0.9793713
84,0.4516056,0.98772424
85,0.46396998,0.8742902
86,0.4440095,0.973772
87,0.45154127,0.98741657
88,0.45611405,0.98733735
89,0.4447243,0.978591
90,0.4687653,0.86968434
91,0.45572808,0.984817
92,0.4532231,0.98494947
93,0.44516644,0.98642343
94,0.45932475,0.97471213
95,0.45341274,0.9865884
96,0.45025125,0.9843583
97,0.44620183,0.9887332
98,0.45401227,0.98556185
99,0.45224977,0.9777606
100,0.4622434,0.8696374
101,0.4541321,0.9874521
102,0.45001662,0.9870106
103,0.44609413,0.9898588
104,0.4449982,0.98185706
105,0.47466317,0.84640235
106,0.44836628,0.98887277
107,0.44414997,0.9811361
108,0.44321278,0.9831657
109,0.47263783,0.8384049
110,0.45587763,0.97767544
111,0.44385323,0.98203284
112,0.4669845,0.8658267
113,0.4528275,0.9870544
114,0.46099532,0.86950904
115,0.45545715,0.9867478
116,0.4524725,0.985722
117,0.449142,0.97887397
118,0.45463416,0.9878887
119,0.463819,0.87332106
120,0.44695604,0.9887545
121,0.4470272,0.9832174
122,0.45711145,0.9752015
123,0.45365736,0.9894631
124,0.4462227,0.9874426
125,0.45224613,0.9859383
126,0.4520029,0.9872835
127,0.4604935,0.8691555
128,0.45373333,0.9863868
129,0.4454062,0.9795393
130,0.45203975,0.9862754
131,0.4543002,0.9871709
132,0.45349512,0.9884287
133,0.44549638,0.97867167
134,0.44577438,0.97487175
135,0.45492208,0.9831614
136,0.44568163,0.9836357
137,0.44734743,0.9884797
138,0.44732368,0.98235273
139,0.4532384,0.98428434
140,0.45450148,0.98677623
141,0.44655994,0.97986215
142,0.45428354,0.97788817
143,0.44780064,0.98932034
144,0.45447567,0.9871298
145,0.44771433,0.9805781
146,0.45664898,0.97519875
147,0.44375426,0.98091656
148,0.45408428,0.9867196
149,0.453954,0.98705965
150,0.45108905,0.9829151
151,0.4525879,0.98672485
152,0.4542981,0.98564976
153,0.45283446,0.9852627
154,0.45136282,0.98648435
