,difficulty,discrimination
0,0.44493428,0.9676178
1,0.44324452,0.9670323
2,0.4591785,0.9362698
3,0.44177315,0.95693946
4,0.450364,0.98780906
5,0.46788955,0.9312668
6,0.44278318,0.9532449
7,0.4507846,0.8431437
8,0.45208842,0.96695024
9,0.45469487,0.97895974
10,0.45487034,0.82861537
11,0.45376393,0.97727543
12,0.44164908,0.9761327
13,0.44910303,0.98088866
14,0.46402588,0.9269584
15,0.44155657,0.9695101
16,0.4547915,0.9431333
17,0.4400109,0.9654912
18,0.4438688,0.9672589
19,0.46666637,0.9340091
20,0.43987066,0.9603023
21,0.4749368,0.9317356
22,0.4530921,0.9866452
23,0.46174312,0.91880643
24,0.4624794,0.921432
25,0.4549533,0.94430953
26,0.44238225,0.97579676
27,0.46970105,0.9183651
28,0.45844984,0.9376017
29,0.44221115,0.95159346
30,0.45324147,0.9786218
31,0.4392866,0.9657843
32,0.43956622,0.95949584
33,0.459856,0.86859995
34,0.4670708,0.9428696
35,0.4532456,0.9791262
36,0.47161493,0.9227296
37,0.47268966,0.9387579
38,0.4685835,0.93110555
39,0.45139018,0.9809157
40,0.45657527,0.9405123
41,0.4614812,0.9578545
42,0.4420687,0.9778576
43,0.4512752,0.9773815
44,0.45408535,0.98609483
45,0.44251165,0.9542211
46,0.45038113,0.9873646
47,0.43862498,0.9653024
48,0.44204116,0.95768064
49,0.4389629,0.964607
50,0.44201246,0.9705526
51,0.45476344,0.944911
52,0.45241222,0.9813089
53,0.46319214,0.95768267
54,0.44034827,0.9613367
55,0.45214388,0.9784093
56,0.44332185,0.9678146
57,0.43911207,0.96312356
58,0.45222783,0.9862509
59,0.44329947,0.9682226
60,0.451594,0.97674716
61,0.44436476,0.96740174
62,0.44433337,0.95441514
63,0.45696086,0.93488884
64,0.45035508,0.92893213
65,0.45364976,0.98626256
66,0.44260335,0.97222805
67,0.4395648,0.96104145
68,0.4601456,0.91578764
69,0.46625164,0.9422142
70,0.4736266,0.8690688
71,0.45443323,0.9754282
72,0.43880984,0.9607412
73,0.4515873,0.97843444
74,0.4448902,0.95111364
75,0.45528707,0.9346304
76,0.43876684,0.96185595
77,0.44023585,0.9613374
78,0.46107993,0.9265635
79,0.44204977,0.9703908
80,0.45243222,0.98620164
81,0.46018603,0.91278625
82,0.43958312,0.9617676
83,0.47656706,0.9123759
84,0.44202426,0.9725254
85,0.44209015,0.95538086
86,0.44259447,0.97097665
87,0.44260424,0.95541495
88,0.4400257,0.9629051
89,0.4711702,0.92256606
90,0.45247918,0.9782054
91,0.46621072,0.9295214
92,0.45110372,0.9860006
93,0.45264906,0.986118
94,0.45413274,0.9822094
95,0.46995127,0.9081832
96,0.4501305,0.98761314
97,0.45206708,0.9762072
98,0.45226994,0.97873443
99,0.44667426,0.9293881
100,0.45268348,0.974872
101,0.43900284,0.9631953
102,0.44168538,0.9575138
103,0.44454834,0.951411
104,0.44179177,0.97641134
105,0.45056948,0.98768735
106,0.43949157,0.96139926
107,0.47007927,0.9260413
108,0.45640665,0.9399915
109,0.46564737,0.9034032
110,0.45850793,0.94284916
111,0.4419768,0.95341825
112,0.4396916,0.96115226
113,0.4428971,0.9563329
114,0.4662711,0.9532203
115,0.45218953,0.97453076
116,0.43928286,0.966684
117,0.43970263,0.89070547
118,0.4514112,0.98666763
119,0.45076743,0.9867115
120,0.4487609,0.98757875
121,0.46363807,0.93738973
122,0.4629682,0.94964635
123,0.46205202,0.95562947
124,0.4516255,0.97444403
125,0.45278215,0.98537403
126,0.4588518,0.9370456
127,0.4404843,0.9606145
128,0.4436841,0.97030747
129,0.46104667,0.9540578
130,0.45262432,0.97242427
131,0.46940887,0.92102206
132,0.4403417,0.96635526
133,0.45835915,0.9523767
134,0.44085914,0.9602349
135,0.4515363,0.9876506
136,0.4516178,0.9867385
137,0.43983194,0.9617922
138,0.4518041,0.9766175
139,0.44385263,0.9707626
140,0.4546637,0.9298426
141,0.44301003,0.96983117
142,0.45287672,0.97795326
143,0.45686463,0.9398088
144,0.465673,0.9242764
145,0.47057655,0.90719086
146,0.44056845,0.9608366
147,0.4516497,0.9736409
148,0.45211706,0.975256
149,0.45765328,0.9329811
150,0.44025287,0.9618362
151,0.46462154,0.929351
152,0.44994405,0.9823504
153,0.44907176,0.98779494
154,0.44293377,0.9582365
155,0.45126793,0.97889864
156,0.4504103,0.9877456
157,0.45057198,0.98800814
158,0.44012615,0.95575386
159,0.44273674,0.9728166
160,0.46171272,0.956221
161,0.4498695,0.9863948
162,0.4623307,0.92445916
163,0.45003238,0.9780244
164,0.4419684,0.95702463
165,0.44271758,0.97299176
166,0.45367163,0.98726743
167,0.47136667,0.89426523
168,0.44936144,0.91696674
169,0.45024544,0.97391546
170,0.46216208,0.94621736
171,0.44193438,0.9755392
172,0.46204087,0.95462525
173,0.4384562,0.96714526
174,0.44285348,0.9685797
175,0.45017925,0.9875356
176,0.45158112,0.9738288
177,0.44950518,0.98156154
178,0.43893486,0.96867025
179,0.4576766,0.9422885
180,0.45130998,0.9801862
181,0.45078176,0.97641414
182,0.43913734,0.9637382
183,0.460215,0.95109296
184,0.46754673,0.93578756
185,0.46160176,0.95387053
186,0.44962093,0.9144302
187,0.46973407,0.92198557
188,0.44221044,0.94936734
189,0.452811,0.9702661
190,0.4648085,0.9246545
191,0.4550972,0.9689896
192,0.450581,0.9797776
193,0.46071768,0.9565624
194,0.45409375,0.97681445
195,0.4612993,0.916219
196,0.45033684,0.9798933
197,0.4533326,0.9770128
198,0.46304032,0.92223954
199,0.47685394,0.9235414
200,0.45330507,0.98614675
201,0.45263612,0.9781067
202,0.45155165,0.9778556
203,0.45282355,0.9859482
204,0.4397052,0.9611069
205,0.45007077,0.9876808
206,0.45126578,0.97540027
207,0.43952727,0.96311057
208,0.46247822,0.9548947
209,0.45380077,0.94472206
210,0.45185032,0.98653156
211,0.4636417,0.8989755
212,0.46891353,0.9321575
213,0.4450018,0.9645024
214,0.4438515,0.9711974
215,0.45438677,0.97900337
216,0.45098767,0.98789966
217,0.4501025,0.9876989
218,0.45452884,0.96979356
219,0.4693429,0.89991885
220,0.4598433,0.9579391
221,0.45643622,0.941847
222,0.4502092,0.9803501
223,0.44043267,0.96040636
224,0.47261497,0.93025684
225,0.46097186,0.9591976
226,0.4512029,0.9760842
227,0.45465788,0.91042507
228,0.44176945,0.9578804
229,0.45955116,0.9176333
230,0.43981954,0.964348
231,0.45173404,0.98054534
232,0.44888377,0.9809202
233,0.44986433,0.9874114
234,0.45222637,0.9865227
235,0.44372445,0.950877
236,0.44032848,0.95939523
237,0.45081496,0.985126
238,0.4525398,0.9861829
239,0.4691811,0.91462106
240,0.4736458,0.93472564
241,0.4388214,0.96512425
242,0.4671303,0.93471825
243,0.45373186,0.9845794
244,0.4422809,0.9755997
245,0.45157444,0.98650223
246,0.44006136,0.96417874
247,0.44026044,0.964081
248,0.4409867,0.9763795
249,0.460692,0.95829606
250,0.46269253,0.9559446
251,0.4502183,0.9876583
252,0.4614951,0.95384896
253,0.44005093,0.9609008
254,0.45236278,0.97595245
255,0.4533208,0.9777725
256,0.44301537,0.973814
257,0.44025543,0.9650608
258,0.4494903,0.9874137
259,0.46689054,0.95134705
260,0.46361613,0.9564493
261,0.43962303,0.96206415
262,0.44977388,0.9864466
263,0.44449678,0.972785
264,0.45474976,0.90090585
265,0.44135177,0.976083
266,0.44076338,0.97825885
267,0.44431478,0.968941
268,0.45083252,0.98615843
269,0.4394258,0.96547556
270,0.44937697,0.9877293
271,0.44066206,0.9616537
272,0.45958182,0.9370934
273,0.4656045,0.9525426
274,0.47792938,0.9216827
275,0.4499062,0.9882233
276,0.46237847,0.9541571
277,0.45984638,0.95249385
278,0.45312062,0.9788422
279,0.47220576,0.9312804
280,0.4667533,0.9451159
281,0.46682155,0.94393635
282,0.4473132,0.9350871
283,0.44221988,0.9610176
284,0.46268928,0.93127817
285,0.43921292,0.9600228
286,0.46235222,0.9276189
287,0.4527701,0.9872746
288,0.45065537,0.97925144
289,0.46061745,0.9249072
290,0.4700239,0.9238374
291,0.45416173,0.96902114
292,0.44151264,0.95514524
293,0.43985367,0.9634376
294,0.45277733,0.987015
295,0.4523838,0.98613703
296,0.4393116,0.964289
297,0.4427155,0.9764891
298,0.44967985,0.987298
299,0.45064116,0.9790108
300,0.45325917,0.9772965
301,0.45795128,0.93450004
302,0.45093593,0.9813299
303,0.44390658,0.9717714
304,0.4499055,0.98607224
305,0.442145,0.97551125
306,0.4658707,0.9309525
307,0.44191012,0.9765107
308,0.44438213,0.95133036
309,0.4504013,0.98023766
310,0.4627729,0.9498479
311,0.4633853,0.9582974
312,0.4525171,0.9823096
313,0.46893993,0.91801065
314,0.45237786,0.9695267
315,0.45059833,0.9744432
316,0.43957013,0.9653683
317,0.4538721,0.96745706
318,0.4410863,0.9540453
319,0.46479452,0.92510134
320,0.45452482,0.96923697
321,0.44188926,0.97713596
322,0.4403142,0.9574337
323,0.45135465,0.9862685
324,0.462145,0.95003515
325,0.45233744,0.98564255
326,0.46786734,0.92192495
327,0.44061324,0.9653303
328,0.45052838,0.98713267
329,0.44092026,0.9649425
330,0.4500219,0.9789187
331,0.44010442,0.96314037
332,0.47516337,0.8982484
333,0.44298527,0.9681044
334,0.4427616,0.97563815
335,0.44122627,0.9608057
336,0.44112375,0.9549619
337,0.443957,0.94922805
338,0.45008853,0.9801147
339,0.45130277,0.9865921
340,0.45484394,0.9690452
341,0.45004812,0.97872025
342,0.44384462,0.9513588
343,0.4655722,0.9549594
344,0.44125116,0.95972276
345,0.4524414,0.9799098
346,0.45369264,0.98559237
347,0.45023337,0.9878616
348,0.4524581,0.9865095
349,0.4562237,0.94073766
350,0.43924397,0.9666819
351,0.461429,0.9388214
352,0.46727136,0.9585936
353,0.44096613,0.96293026
354,0.45242563,0.98526424
355,0.44226894,0.9753798
356,0.44021872,0.96573186
357,0.45681533,0.941373
358,0.4431127,0.95304805
359,0.43886402,0.9638286
360,0.44418806,0.95254445
361,0.4512138,0.975915
362,0.45252904,0.98648155
363,0.44111362,0.9756976
364,0.4432646,0.9717897
365,0.46744594,0.9355012
366,0.46262756,0.9165096
367,0.4412145,0.97493905
368,0.45305032,0.98670185
369,0.4428466,0.952022
370,0.4580341,0.9328306
371,0.44179296,0.9680174
372,0.45485815,0.94580764
373,0.4409513,0.9605686
374,0.45100284,0.9781746
375,0.4413937,0.97854066
376,0.4797838,0.926456
377,0.44387093,0.9498335
378,0.4641514,0.93577796
379,0.45639566,0.96310014
380,0.46290973,0.9360709
381,0.45344198,0.9665527
382,0.4402824,0.9604062
383,0.46299082,0.9561419
384,0.43909484,0.9671699
385,0.45134804,0.98763406
386,0.44935971,0.9873818
387,0.44059297,0.9628055
388,0.46941316,0.92979336
389,0.45964104,0.92110956
390,0.4532712,0.9431964
391,0.4517393,0.98606485
392,0.44963622,0.98821163
393,0.45602456,0.9444364
394,0.4416408,0.977225
395,0.4561938,0.94051415
396,0.44952437,0.9805011
397,0.44177347,0.979617
398,0.44024596,0.95980406
399,0.44961542,0.9802361
400,0.442928,0.97063977
401,0.46239895,0.9563715
402,0.44040397,0.9569138
403,0.46118933,0.92095613
404,0.4423618,0.9714595
405,0.4667872,0.92983794
406,0.44957763,0.9797806
407,0.46276206,0.90108126
408,0.45438698,0.9456704
409,0.4428435,0.9500209
410,0.45100477,0.9807119
411,0.45106807,0.9804315
412,0.45112082,0.9808568
413,0.44278044,0.9416633
414,0.46342462,0.9554878
415,0.44147584,0.9596037
416,0.4425707,0.95476866
417,0.442792,0.97092724
418,0.45165074,0.9770448
419,0.4525567,0.9763005
420,0.4511868,0.9878657
421,0.4589058,0.9514514
422,0.45415264,0.9436348
423,0.4506383,0.97819567
424,0.4575592,0.9433631
425,0.4445606,0.96648437
426,0.45208418,0.97812366
427,0.43986696,0.9660731
428,0.45713535,0.9646444
429,0.45274234,0.9862301
430,0.45181915,0.9875076
431,0.4681726,0.92112124
432,0.45099688,0.986478
433,0.44588345,0.9317576
434,0.45104718,0.90758276
435,0.43989947,0.9631215
436,0.46665674,0.9433088
437,0.46158746,0.92737764
438,0.4532849,0.96833855
439,0.46802554,0.9248307
440,0.4486892,0.9798264
441,0.47107002,0.89365846
442,0.44801286,0.93024194
443,0.47713825,0.93549913
444,0.46296567,0.9496028
445,0.45225242,0.98630255
446,0.43970135,0.9652034
447,0.46704614,0.87031925
448,0.44375652,0.94998664
449,0.4542488,0.9807175
450,0.45161748,0.98643506
451,0.44482976,0.9687504
452,0.449796,0.987393
453,0.45259142,0.98504746
454,0.4499856,0.98757625
455,0.44193405,0.97215015
456,0.47169846,0.925451
457,0.44223925,0.9738222
458,0.45084822,0.97770363
459,0.41918567,0.6821606
460,0.46827945,0.919873
461,0.4415212,0.9776725
