,difficulty,discrimination
0,0.4496858,0.9852696
1,0.45269096,0.9872923
2,0.46108127,0.9868897
3,0.45090848,0.98077846
4,0.46555117,0.98198855
5,0.46468213,0.98374695
6,0.44862536,0.9886057
7,0.47449917,0.93854606
8,0.46577197,0.9751675
9,0.47317088,0.9858096
10,0.47625336,0.9764592
11,0.47335052,0.98416424
12,0.4489369,0.9838162
13,0.47147125,0.9759361
14,0.46349317,0.9788197
15,0.4473742,0.9882261
16,0.46394566,0.9823615
17,0.45182797,0.98369944
18,0.4481342,0.98561305
19,0.46739352,0.9838886
20,0.45400217,0.98077327
21,0.46856916,0.98114353
22,0.46315196,0.97453123
23,0.46679106,0.9826054
24,0.4676506,0.9813619
25,0.46227464,0.98477674
26,0.4488587,0.9883948
27,0.4716426,0.97621846
28,0.46295515,0.9869879
29,0.4554242,0.97949624
30,0.4728589,0.9842283
31,0.45145532,0.98839176
32,0.45459968,0.98134667
33,0.46218553,0.9845069
34,0.4677053,0.98196334
35,0.46883145,0.97727203
36,0.47034818,0.97920674
37,0.47001776,0.9781174
38,0.46778792,0.98358417
39,0.46459556,0.97341204
40,0.46568337,0.98364234
41,0.4663327,0.9815602
42,0.45050743,0.9894552
43,0.46914032,0.9811555
44,0.46371603,0.97684544
45,0.45372182,0.9799326
46,0.46386644,0.98526686
47,0.45182508,0.98620653
48,0.44936553,0.98660696
49,0.44966683,0.9736642
50,0.44873753,0.9801199
51,0.4648778,0.9823503
52,0.47273812,0.9223371
53,0.46361956,0.98308605
54,0.45283437,0.95544344
55,0.46444413,0.9856594
56,0.44790772,0.98678064
57,0.4519217,0.9794104
58,0.4635683,0.9843664
59,0.44901547,0.9778052
60,0.47444087,0.9760546
61,0.44971398,0.9859
62,0.4486893,0.9863559
63,0.4626918,0.98474276
64,0.46561632,0.9811537
65,0.46436214,0.97433025
66,0.44909588,0.9848427
67,0.45244026,0.9860776
68,0.46657765,0.98155934
69,0.46883416,0.97746456
70,0.4710091,0.97659886
71,0.47031802,0.97403175
72,0.44932005,0.98837966
73,0.4650898,0.9838033
74,0.4530673,0.9820196
75,0.46271566,0.9836169
76,0.4506864,0.9883085
77,0.45101255,0.98656356
78,0.46766713,0.9859477
79,0.4466988,0.9882005
80,0.4650726,0.98550963
81,0.46627152,0.9831867
82,0.45242345,0.98606277
83,0.46856502,0.9799271
84,0.44779614,0.98463464
85,0.44902703,0.98336464
86,0.44899404,0.9885772
87,0.4492007,0.98581475
88,0.4533638,0.98789304
89,0.47169816,0.98137534
90,0.46494505,0.98367554
91,0.4701342,0.9792081
92,0.4645065,0.98235375
93,0.4620935,0.9854894
94,0.47462773,0.92883307
95,0.4725035,0.9792788
96,0.46885455,0.98728323
97,0.47355705,0.98631644
98,0.47130197,0.987068
99,0.4706898,0.9758873
100,0.47340053,0.97779006
101,0.44712672,0.9879792
102,0.4504481,0.9848886
103,0.4522453,0.98247504
104,0.4498926,0.9886289
105,0.46452585,0.9862767
106,0.4477866,0.9796697
107,0.4700562,0.9790659
108,0.46290183,0.9861994
109,0.47029608,0.9824572
110,0.4617211,0.9877023
111,0.4496453,0.9822259
112,0.45428935,0.9792704
113,0.44626874,0.98628587
114,0.46253797,0.9862451
115,0.47171348,0.97709066
116,0.44993743,0.98336864
117,0.4755315,0.94115746
118,0.46291623,0.97531503
119,0.46531194,0.985144
120,0.46957716,0.986792
121,0.46471724,0.97997946
122,0.46596965,0.9827631
123,0.46114832,0.98807
124,0.4711904,0.9756613
125,0.4635831,0.97587144
126,0.46270826,0.98642534
127,0.45080715,0.9831873
128,0.44716755,0.98890966
129,0.46499014,0.97944385
130,0.4700685,0.9384392
131,0.4665644,0.98115736
132,0.45027453,0.988856
133,0.469133,0.98051035
134,0.45417136,0.981444
135,0.46474555,0.98594475
136,0.46518615,0.9842727
137,0.4557719,0.98088384
138,0.47393346,0.975732
139,0.45399737,0.98680556
140,0.46319592,0.9844067
141,0.4508818,0.983644
142,0.47216493,0.9814211
143,0.46198773,0.9887254
144,0.46733177,0.983341
145,0.46978495,0.97917473
146,0.44903702,0.9792836
147,0.46491387,0.97631586
148,0.4713681,0.9726021
149,0.46331933,0.9850768
150,0.44997463,0.9882961
151,0.46732357,0.9848784
152,0.46831784,0.9870786
153,0.46805835,0.93773097
154,0.44585928,0.9891686
155,0.4733391,0.98471904
156,0.46429262,0.9846248
157,0.4618966,0.9858433
158,0.45293823,0.9864632
159,0.44850394,0.9831127
160,0.46146306,0.98887265
161,0.4638751,0.98627865
162,0.46498477,0.98337585
163,0.46927616,0.98438495
164,0.45276597,0.983112
165,0.44842842,0.9875113
166,0.4625084,0.98530126
167,0.47227198,0.9776326
168,0.45009926,0.9808767
169,0.4711327,0.97898865
170,0.46455747,0.9796046
171,0.44852954,0.9892265
172,0.46397942,0.983082
173,0.4496799,0.9889245
174,0.45312226,0.9866062
175,0.46384183,0.97735476
176,0.4692369,0.9364742
177,0.47023427,0.9866856
178,0.45395806,0.98221016
179,0.4616693,0.98705775
180,0.46421728,0.9753875
181,0.47204825,0.9769587
182,0.45164195,0.9867615
183,0.4632194,0.98478276
184,0.4679128,0.9765708
185,0.46164155,0.98663414
186,0.47178006,0.97599924
187,0.4658949,0.98273695
188,0.44937164,0.98473644
189,0.47030208,0.9794705
190,0.46900654,0.9813995
191,0.46553352,0.9817478
192,0.4681461,0.9870206
193,0.463687,0.9831231
194,0.47521156,0.9790991
195,0.46651265,0.98084265
196,0.46906644,0.9872091
197,0.47297108,0.9815139
198,0.46648866,0.9869806
199,0.47008955,0.9778596
200,0.46596354,0.975642
201,0.4731667,0.98280954
202,0.4755015,0.978821
203,0.4621,0.97664106
204,0.4823933,0.85999954
205,0.46653652,0.9765073
206,0.47014502,0.98695916
207,0.45066237,0.98894984
208,0.46941194,0.9833125
209,0.4631024,0.9855486
210,0.4648632,0.9844529
211,0.46862343,0.9814733
212,0.46474308,0.9805739
213,0.4486081,0.9860201
214,0.44727123,0.98791164
215,0.46784633,0.98482007
216,0.46424684,0.9827785
217,0.46556213,0.9484755
218,0.47019416,0.986436
219,0.47066984,0.98503655
220,0.46162796,0.9849757
221,0.46153843,0.9860451
222,0.46490437,0.9844093
223,0.45283777,0.9883764
224,0.46782905,0.98346776
225,0.46380845,0.983083
226,0.47148618,0.98103446
227,0.47629046,0.9727169
228,0.4510968,0.98216647
229,0.46433875,0.984125
230,0.45209515,0.9877399
231,0.4724066,0.98552006
232,0.46852592,0.98548234
233,0.4634314,0.987354
234,0.46525607,0.9763653
235,0.44846603,0.9860888
236,0.45144695,0.9891672
237,0.46206352,0.9866805
238,0.46918598,0.98623294
239,0.46982926,0.9826302
240,0.47056267,0.97724396
241,0.45204455,0.98102945
242,0.46795225,0.9780079
243,0.46360233,0.9747606
244,0.4490848,0.9882817
245,0.46202838,0.9869042
246,0.45195776,0.9880024
247,0.44739065,0.98006815
248,0.44838944,0.9885616
249,0.46370402,0.9827861
250,0.4625468,0.98647594
251,0.46503994,0.97545695
252,0.4667973,0.98146313
253,0.44787332,0.97915465
254,0.47006226,0.9798248
255,0.47320798,0.98755103
256,0.47238106,0.97590554
257,0.45359734,0.9819513
258,0.46584436,0.9733077
259,0.46711233,0.9728539
260,0.46375436,0.98315626
261,0.45099422,0.98814845
262,0.4625468,0.98739034
263,0.44775912,0.98983437
264,0.4661952,0.9813866
265,0.448763,0.9845687
266,0.44765696,0.98776174
267,0.44704702,0.98760396
268,0.4632335,0.9848686
269,0.4517143,0.98682356
270,0.46547154,0.9752687
271,0.45395166,0.9864474
272,0.4620611,0.98547757
273,0.46314195,0.98518646
274,0.47063315,0.97976726
275,0.4639626,0.9830742
276,0.465749,0.98099566
277,0.4656284,0.97694594
278,0.46306333,0.9852012
279,0.47007373,0.977756
