,abilities
kmeans_n_clusters_1,0.45266703
kmeans_n_clusters_2,0.5006039
kmeans_n_clusters_3,0.50825185
kmeans_n_clusters_4,0.51154286
kmeans_n_clusters_5,0.50932
kmeans_n_clusters_6,0.50962055
kmeans_n_clusters_7,0.5084847
kmeans_n_clusters_8,0.5093435
dbscan_eps_0_1_min_samples_2,0.50129336
dbscan_eps_0_2_min_samples_2,0.5068749
dbscan_eps_0_3_min_samples_2,0.50687474
dbscan_eps_0_4_min_samples_2,0.50687474
dbscan_eps_0_5_min_samples_2,0.50687474
dbscan_eps_0_6_min_samples_2,0.45266703
dbscan_eps_0_7_min_samples_2,0.45266703
dbscan_eps_0_8_min_samples_2,0.45266703
dbscan_eps_0_9_min_samples_2,0.45266703
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.45266703
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.501235
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.507009
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5116012
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.51106876
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.514204
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.51167554
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5116404
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.45266703
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.50687474
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.51283544
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.51419955
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5160605
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5157132
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.5143528
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.5141894
mean_shift_,0.49910682
optics_,0.4937628
random_model_n1,0.47672155
random_model_n2,0.47667518
random_model_n3,0.476756
random_model_n4,0.4769411
random_model_n5,0.47677422
random_model_n6,0.47668839
random_model_n7,0.47678798
random_model_n8,0.47669068
random_model_n9,0.4768709
random_model_n10,0.47674778
random_model_n11,0.47670737
random_model_n12,0.4767983
random_model_n13,0.47666782
random_model_n14,0.4765933
random_model_n15,0.47694117
random_model_n16,0.47672698
random_model_n17,0.47686443
random_model_n18,0.47656962
random_model_n19,0.47722057
random_model_n20,0.47681564
random_model_n21,0.4766204
random_model_n22,0.4766106
random_model_n23,0.47673187
average_model,0.49561393
optimal_clustering,0.5186859
