,abilities
kmeans_n_clusters_1,0.41798744
kmeans_n_clusters_2,0.5057871
kmeans_n_clusters_3,0.5292715
kmeans_n_clusters_4,0.53233534
kmeans_n_clusters_5,0.53050756
kmeans_n_clusters_6,0.52968955
kmeans_n_clusters_7,0.52948654
kmeans_n_clusters_8,0.5287606
dbscan_eps_0_1_min_samples_2,0.52186155
dbscan_eps_0_2_min_samples_2,0.52870435
dbscan_eps_0_3_min_samples_2,0.4235159
dbscan_eps_0_4_min_samples_2,0.42012495
dbscan_eps_0_5_min_samples_2,0.41899824
dbscan_eps_0_6_min_samples_2,0.41899824
dbscan_eps_0_7_min_samples_2,0.41798744
dbscan_eps_0_8_min_samples_2,0.41798744
dbscan_eps_0_9_min_samples_2,0.41798744
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.41798744
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.5060041
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.52947694
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5323027
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5284858
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.5315361
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5276525
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.52680486
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.41798744
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.50538915
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5291583
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.52335656
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.51573014
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.52011245
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.516806
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.512183
mean_shift_,0.52986455
optics_,0.46746093
random_model_n1,0.46982768
random_model_n2,0.47005758
random_model_n3,0.47048482
random_model_n4,0.47070283
random_model_n5,0.4707357
random_model_n6,0.47013965
random_model_n7,0.46994045
random_model_n8,0.47003186
random_model_n9,0.4699753
random_model_n10,0.4700864
random_model_n11,0.47006464
random_model_n12,0.47009298
random_model_n13,0.4703054
random_model_n14,0.4698519
random_model_n15,0.47015005
random_model_n16,0.47066426
random_model_n17,0.47006595
random_model_n18,0.47084773
random_model_n19,0.4700964
random_model_n20,0.4702416
random_model_n21,0.47034344
random_model_n22,0.47001702
random_model_n23,0.46995276
random_model_n24,0.47010204
random_model_n25,0.47045606
average_model,0.48460194
optimal_clustering,0.5334972
