,abilities
kmeans_n_clusters_1,0.35516673
kmeans_n_clusters_2,0.44089445
kmeans_n_clusters_3,0.46569398
kmeans_n_clusters_4,0.48095366
kmeans_n_clusters_5,0.4858976
kmeans_n_clusters_6,0.4883842
kmeans_n_clusters_7,0.49001774
kmeans_n_clusters_8,0.4911711
dbscan_eps_0_1_min_samples_2,0.49179822
dbscan_eps_0_2_min_samples_2,0.35516673
dbscan_eps_0_3_min_samples_2,0.35516673
dbscan_eps_0_4_min_samples_2,0.35516673
dbscan_eps_0_5_min_samples_2,0.35516673
dbscan_eps_0_6_min_samples_2,0.35516673
dbscan_eps_0_7_min_samples_2,0.35516673
dbscan_eps_0_8_min_samples_2,0.35516673
dbscan_eps_0_9_min_samples_2,0.35516673
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.35516673
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.440308
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.46568155
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.48091963
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.48532277
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.48774248
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.48961207
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.49101833
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.35516673
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.4375861
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.46359792
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.4802673
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.48425868
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.4828735
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4865883
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.48966068
mean_shift_,0.35516673
optics_,0.46086118
random_model_n1,0.47598633
random_model_n2,0.47601593
random_model_n3,0.47598407
random_model_n4,0.47602975
random_model_n5,0.4760348
random_model_n6,0.47594842
random_model_n7,0.47596744
random_model_n8,0.4759304
random_model_n9,0.47593644
random_model_n10,0.47598806
random_model_n11,0.47586298
random_model_n12,0.47593075
random_model_n13,0.47598773
random_model_n14,0.47600698
random_model_n15,0.4759138
random_model_n16,0.47588503
random_model_n17,0.47600102
random_model_n18,0.4758899
random_model_n19,0.47605598
random_model_n20,0.47584864
random_model_n21,0.47590575
random_model_n22,0.4758738
random_model_n23,0.47583568
random_model_n24,0.47584593
random_model_n25,0.4759117
random_model_n26,0.47599682
random_model_n27,0.47581646
random_model_n28,0.47597975
random_model_n29,0.47591975
random_model_n30,0.47595254
random_model_n31,0.4759749
random_model_n32,0.47595966
random_model_n33,0.47590116
average_model,0.42593294
optimal_clustering,0.49371374
