,difficulty,discrimination
0,0.42408803,0.99434626
1,0.43102357,0.99123204
2,0.42049888,0.9947187
3,0.42291436,0.99303305
4,0.4306016,0.99456984
5,0.42800152,0.9940433
6,0.4198763,0.99289703
7,0.42588863,0.9937348
8,0.42445174,0.9937983
9,0.42542917,0.9947958
10,0.42094317,0.9930657
11,0.41876832,0.9938236
12,0.43104717,0.99123245
13,0.42637154,0.9937986
14,0.4301153,0.99372417
15,0.42345244,0.9951538
16,0.42481944,0.9949367
17,0.42177874,0.99477524
18,0.42296913,0.9950217
19,0.4229576,0.9932717
20,0.42219442,0.9942156
21,0.4233088,0.9949401
22,0.4249986,0.99231184
23,0.42595074,0.9943041
24,0.42606127,0.9937301
25,0.41876572,0.9938423
26,0.42628247,0.994739
27,0.42157334,0.9949577
28,0.4171379,0.99517334
29,0.4264901,0.9941783
30,0.4302367,0.99459493
31,0.4238193,0.99264395
32,0.42063046,0.9932588
33,0.42236385,0.9941813
34,0.4237437,0.9924695
35,0.42462716,0.99403054
36,0.42465764,0.9940365
37,0.42326382,0.99186563
38,0.4191393,0.9946903
39,0.42124233,0.9948454
40,0.42648917,0.9948762
41,0.42991072,0.99294895
42,0.4192646,0.99393827
43,0.42214113,0.9941211
44,0.4295852,0.99265426
45,0.42049924,0.9949117
46,0.42333993,0.99505424
47,0.4247806,0.9949126
48,0.42587897,0.99418724
49,0.42715147,0.9930508
50,0.42662102,0.99392974
51,0.42496842,0.99228823
52,0.4272858,0.9942502
53,0.42555204,0.99096715
54,0.42359912,0.9948099
55,0.4186889,0.99492824
56,0.4316514,0.9926297
57,0.42395365,0.99295235
58,0.42048502,0.9942239
59,0.4313027,0.99156857
60,0.43188727,0.9930513
61,0.42088345,0.9947912
62,0.43037573,0.993411
63,0.42567155,0.9937652
64,0.423298,0.9919802
65,0.42827436,0.99407953
66,0.41877413,0.99375504
67,0.41943854,0.9937935
68,0.43697923,0.98681957
69,0.42632017,0.9949557
70,0.4184284,0.99393636
71,0.4195979,0.99286205
72,0.42300445,0.9944692
73,0.4247295,0.9948696
74,0.4242862,0.99484736
75,0.42371085,0.9943374
76,0.42377007,0.99222034
77,0.42537466,0.9928713
78,0.4327844,0.9934864
79,0.42057508,0.9948597
80,0.42584255,0.9919909
81,0.43148026,0.99316144
82,0.42116132,0.99419075
83,0.41864368,0.9944756
84,0.42733228,0.9928874
85,0.42366558,0.9943248
86,0.42763412,0.9921106
87,0.4206589,0.99326956
88,0.43139693,0.9922273
89,0.42326567,0.99333495
90,0.42413327,0.99457484
91,0.4246856,0.99442095
92,0.4258973,0.99349743
93,0.43085787,0.9947052
94,0.42702803,0.99410146
95,0.42105737,0.9948564
96,0.42553496,0.99369985
97,0.42681095,0.9940081
98,0.4235152,0.99279755
99,0.42081118,0.99486786
100,0.42040464,0.9929883
101,0.42331934,0.9943881
102,0.4215425,0.9941924
103,0.42142612,0.99426883
104,0.41751382,0.99490464
105,0.42003408,0.99306417
106,0.42601982,0.99356353
107,0.4267317,0.99407464
108,0.42535016,0.99417424
109,0.429138,0.9947506
110,0.42288482,0.9943455
111,0.42451128,0.99306595
112,0.42435586,0.9939261
113,0.43440297,0.9890865
114,0.4248228,0.99477845
115,0.42581144,0.9942375
116,0.42635673,0.9913504
117,0.4226096,0.99424034
118,0.42372537,0.9923612
119,0.4273201,0.99408394
120,0.42651716,0.99419236
121,0.43102452,0.99050254
122,0.42542833,0.99156266
123,0.42680383,0.9941082
124,0.4242352,0.9925113
125,0.42295304,0.99517894
126,0.4300379,0.9932084
127,0.41948253,0.9936411
128,0.4205192,0.9947996
129,0.4221058,0.99423
130,0.4277456,0.9921946
131,0.4230939,0.99412423
132,0.41870934,0.9938371
133,0.43121192,0.9931977
134,0.4234738,0.99503404
135,0.42334858,0.9924679
136,0.42419797,0.9929466
137,0.42447975,0.9939403
138,0.42495292,0.9937779
139,0.42970815,0.9936209
140,0.4233943,0.99404657
141,0.42296872,0.99423
142,0.42626536,0.99213403
143,0.42667428,0.99420327
144,0.4208104,0.99305505
145,0.42499688,0.99458903
146,0.42377213,0.99418664
147,0.42668372,0.9922476
148,0.42346624,0.9951192
149,0.42636958,0.9931654
150,0.4270587,0.9919015
151,0.42106378,0.99335486
152,0.42250994,0.99414843
153,0.42844382,0.9940558
154,0.422712,0.9926967
155,0.42684704,0.99397475
156,0.42177063,0.99431527
157,0.42588434,0.993926
158,0.41923553,0.993007
159,0.42455667,0.9934175
160,0.43012622,0.99108404
161,0.42939714,0.9926714
162,0.42403096,0.9940856
163,0.41865748,0.9949238
164,0.4263928,0.99328685
165,0.43026248,0.99481744
166,0.42199114,0.9944039
167,0.41780663,0.99508387
168,0.42331278,0.99267405
169,0.4238285,0.9923116
170,0.42815888,0.9929282
171,0.4232863,0.9944538
172,0.41794476,0.9949151
173,0.41945195,0.99447596
174,0.42177156,0.99280655
175,0.42423442,0.99387676
176,0.4190267,0.99384016
177,0.42090255,0.99305606
178,0.4178519,0.99482787
179,0.4227325,0.99474925
180,0.4239919,0.9930518
181,0.42187023,0.99445266
182,0.42197406,0.9931308
183,0.42661187,0.99276525
184,0.42423752,0.9936439
185,0.41873148,0.9939832
186,0.4175728,0.99494535
187,0.41735357,0.99512476
188,0.4277887,0.99130267
189,0.42421547,0.9931411
190,0.42485163,0.99364454
191,0.42959324,0.993186
192,0.42278537,0.99516237
193,0.4196981,0.99299103
194,0.4261447,0.9938172
195,0.4253357,0.9917983
196,0.4307884,0.99214447
197,0.41816777,0.9950108
198,0.4187995,0.9948494
199,0.43233964,0.9929885
200,0.4327408,0.989695
201,0.42768982,0.9931308
202,0.43085724,0.99481815
203,0.4237845,0.9942392
204,0.42665288,0.9941062
205,0.43160686,0.9915123
206,0.42879504,0.99095285
207,0.41880563,0.9936735
208,0.43028343,0.9932567
209,0.43150607,0.9910725
210,0.4268832,0.9936555
211,0.4250315,0.9917292
212,0.4229562,0.9942462
213,0.4239574,0.99435675
214,0.42488143,0.9939245
215,0.41861752,0.9949452
216,0.4258171,0.9927275
217,0.4244005,0.99318093
218,0.42810842,0.99360406
219,0.4240121,0.9943796
220,0.41997343,0.99441046
221,0.4265862,0.9930836
222,0.4256894,0.99418044
223,0.42530918,0.99410784
224,0.42040715,0.99439716
225,0.41850632,0.9938936
226,0.42825902,0.99341726
227,0.42357612,0.9933413
228,0.42583463,0.99348253
229,0.42858985,0.9911611
230,0.42262265,0.9951258
231,0.42136946,0.995061
232,0.4251921,0.9949364
233,0.42177752,0.994852
234,0.42533445,0.9928788
235,0.4257654,0.9944813
236,0.42329654,0.9951471
237,0.42367873,0.9947189
238,0.42324668,0.99242884
239,0.42621377,0.991271
240,0.41950813,0.99291056
241,0.42218295,0.99437684
242,0.4256299,0.9936105
243,0.41772965,0.99502915
244,0.42780903,0.9931693
245,0.42332473,0.9926041
246,0.42735618,0.99412125
247,0.42920324,0.994407
248,0.4239967,0.99379575
249,0.42877784,0.99236375
250,0.42107207,0.9947768
251,0.41990265,0.99451977
252,0.4278443,0.99411845
253,0.422991,0.9933205
254,0.4190812,0.993749
255,0.4263504,0.99435467
256,0.42032385,0.9944351
257,0.42479566,0.99387187
258,0.42447624,0.99211466
259,0.42512134,0.9947353
260,0.41874066,0.9946659
261,0.42466736,0.99400985
262,0.4251712,0.9949236
263,0.43033236,0.9946881
264,0.4241411,0.9946226
265,0.4265921,0.99364305
266,0.4227858,0.992548
267,0.42209303,0.9942977
268,0.43058133,0.9940406
269,0.4250679,0.9940947
270,0.42634755,0.99145114
271,0.42610684,0.9936598
272,0.4259203,0.9931648
273,0.4232252,0.9930782
274,0.42676166,0.99445146
275,0.4304234,0.99291736
276,0.4310085,0.9953953
277,0.424242,0.9939548
278,0.4238778,0.99457735
279,0.4217676,0.99313587
280,0.4218074,0.9943562
281,0.42932215,0.9900178
282,0.4258924,0.9910762
283,0.43039918,0.9927116
284,0.42269245,0.9950504
285,0.42706457,0.99316686
286,0.42691454,0.9920786
287,0.4268269,0.9930405
288,0.43087673,0.99477106
289,0.42639458,0.99254274
290,0.42053455,0.9947372
291,0.4242698,0.99432945
292,0.42033765,0.9932375
293,0.42172888,0.99433464
294,0.426242,0.9927944
295,0.43094394,0.99175143
296,0.42539594,0.99453163
297,0.42881703,0.9915123
298,0.4260676,0.99357915
299,0.42419222,0.9944111
300,0.421455,0.9948365
301,0.4281099,0.9909208
302,0.42336845,0.9948581
303,0.42434284,0.99486727
304,0.4250293,0.9941325
305,0.4273433,0.99418354
306,0.43067268,0.99313986
307,0.42701548,0.9921108
308,0.41822016,0.99497986
309,0.42399287,0.99211997
310,0.42852122,0.9941386
311,0.41752094,0.99501276
312,0.4239941,0.9939004
313,0.43261647,0.9934488
314,0.423897,0.99269724
315,0.42373607,0.99490917
316,0.42547846,0.9935918
317,0.4281177,0.9944776
318,0.42278436,0.99297154
319,0.4236053,0.9950518
320,0.4254884,0.9938966
321,0.42890045,0.99162036
322,0.426229,0.99132615
323,0.423638,0.994959
324,0.4240714,0.99395424
325,0.41995585,0.99347085
326,0.42423734,0.9948432
327,0.41813442,0.9939191
328,0.4205751,0.9948729
329,0.4248936,0.9917365
330,0.43067423,0.9930408
331,0.42621505,0.99357426
332,0.42991257,0.99324137
333,0.43121392,0.993245
334,0.41983,0.9935806
335,0.43108654,0.9933537
336,0.42395887,0.9930212
