,abilities,v_measure,mutual_info,adjusted_rand_score,calinski_harabasz,davies_bouldin,silhouette
optimal_clustering,0.5784306526184082,,,,,,
optics_,0.5756008625030518,0.6626957118108624,0.42902286732251227,0.7608006141586142,259.66337278043613,1.3160681925712678,0.3366526976840683
dbscan_eps_0_2_min_samples_2,0.5736895799636841,0.554612218410556,0.35939296135154747,0.6707206476880808,267.6964044280201,1.312320210357444,0.3449740051034408
dbscan_eps_0_3_min_samples_2,0.5696139335632324,0.42229582618320705,0.332383691282531,0.510670959369618,197.11400022776706,1.5293883767807952,0.3143840098608098
dbscan_eps_0_4_min_samples_2,0.5683807730674744,0.46335618207324947,0.40284198810980204,0.5534283165109051,158.849362151806,1.4945255519872414,0.2773347219864172
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.5640446543693542,0.4532884373416274,0.3706263289259637,0.5235652218557569,192.03682950854505,1.5720928629858648,0.286205485136543
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.548503041267395,0.1687003626066728,0.10750786006708231,0.12788720011061896,23.944171597005965,1.1699709719163773,0.26538486009784557
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.54075688123703,0.05136362301784874,0.019408896833950723,0.02766435305873905,4.094134139930931,1.9334480898778907,-0.09560405365902817
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.5401061773300171,0.0,0.0,0.0,,,
mean_shift_,0.5401061773300171,0.0,0.0,0.0,,,
kmeans_n_clusters_1,0.5401061773300171,0.0,0.0,0.0,,,
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5401061773300171,0.0,0.0,0.0,,,
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5401061773300171,0.0,0.0,0.0,,,
dbscan_eps_0_1_min_samples_2,0.5401061773300171,0.0,0.0,0.0,,,
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5401061773300171,0.0,0.0,0.0,,,
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.5401061773300171,0.0,0.0,0.0,,,
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.5401061773300171,0.0,0.0,0.0,,,
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5401061773300171,0.0,0.0,0.0,,,
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.5401061773300171,0.0,0.0,0.0,,,
dbscan_eps_0_9_min_samples_2,0.5401061773300171,0.0,0.0,0.0,,,
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5358952283859253,0.4329301993370677,0.428738189947959,0.3762150878907543,143.51153865373306,1.8604038871524473,0.1343432845373407
dbscan_eps_0_6_min_samples_2,0.5336907505989075,0.4144952166987478,0.4571950223425037,0.3320221400336941,128.78978088957774,1.7023935460335569,0.16176242527432447
dbscan_eps_0_5_min_samples_2,0.5333778858184814,0.3984130449300934,0.42094575350907737,0.3352514961957785,140.39072377135346,1.7525972908146976,0.159637241889702
average_model,0.5242680311203003,,,,,,
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5235655903816223,0.41258430577076266,0.44981675835202894,0.339122273866175,117.62558494360275,1.754184358426108,0.10489887722314693
kmeans_n_clusters_2,0.521863579750061,0.09972603476029525,0.06649791952220646,0.15285604309090742,30.114472791757745,3.82364292792612,0.08311200199682482
dbscan_eps_0_7_min_samples_2,0.5132200121879578,0.3740319923078672,0.45785547044211916,0.2549569157578292,118.47361885766284,1.6735537912020695,0.15531681641701206
dbscan_eps_0_8_min_samples_2,0.5127015113830566,0.3754715360213049,0.4628171360741186,0.2552687353678729,111.29804198342298,1.5431150207099424,0.15721675366244284
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.5099223256111145,0.3512731694204774,0.4133634645965262,0.25762978877662185,107.35300727953654,1.617909330381675,0.10149415795974175
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5019320845603943,0.3606352802233902,0.44877417464138913,0.23955921850659812,102.31278937986427,1.6035068866962434,0.10488756557734721
random_model_n8,0.49759045243263245,0.0064045565699750616,0.004333054018952065,0.007666050215238779,1.0701454791584128,20.741474040463476,0.001824715331059414
random_model_n10,0.4974870979785919,0.003107470623794674,0.002101865655414481,0.003465659760544842,0.7070144243624599,25.488338351888817,-0.0004062291412143066
random_model_n6,0.4973682463169098,0.00022917175186602825,0.0001550578951581283,-0.001159227929349265,0.7794783485536293,24.308308886324788,-0.00026941816645022996
random_model_n3,0.4973529279232025,0.002333070388463369,0.0015779095685125588,0.00018110376286107198,0.6948286008233261,25.741433081127187,0.00016861802420386766
random_model_n4,0.4973360002040863,0.0019678448401410486,0.0013310328512860514,-9.869555476766555e-05,0.40990215673053754,33.49121533925805,-0.0006781219463509804
random_model_n2,0.49731510877609253,0.00039648402531858046,0.0002683130280445867,-0.001126292476402796,0.9239035293578723,22.326745254923697,-0.00016296588249403946
random_model_n9,0.49726179242134094,0.0014390088393822361,0.0009737952120424942,-1.7227107974996944e-05,1.1181458026262467,20.28985040801759,0.0004885515925173034
random_model_n1,0.497252881526947,0.0001123483483893379,7.602544510521003e-05,-0.0015812125986158236,0.5049076873485959,30.192088162423087,-0.0006659226760825179
random_model_n5,0.49722132086753845,0.000276402856184036,0.00018691715520163799,-0.0008773346921744487,1.3203016761940634,18.648630928079715,-0.0005588412673649763
random_model_n7,0.4971570670604706,7.5989280246884745e-06,5.142383163792008e-06,-0.0016476186272665486,0.7059868736024171,25.545211713020542,-0.0007239871649362198
random_model_n11,0.4971241056919098,0.0007388985875428383,0.0004996794312214226,-0.001397155239944535,0.4032383499722981,33.80446929847223,0.0003429970967582837
kmeans_n_clusters_4,0.49598097801208496,0.08551526364911959,0.08520068855453697,0.10046844839253544,13.163825010730722,9.651395426950973,-0.023487335981353406
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.4925162196159363,0.3647242346114462,0.487603958572383,0.19903435544752945,100.3876352549856,1.697370822652731,0.1097114837789092
kmeans_n_clusters_3,0.48572906851768494,0.007624737703765836,0.006689318451195747,0.007192580269594929,3.7475903143877947,9.89734155732309,-0.008702450520244874
kmeans_n_clusters_5,0.4795091450214386,0.05312534202437069,0.05887681953034518,0.061604870063957866,8.55958708107939,11.37851765557296,-0.03505955610123617
kmeans_n_clusters_8,0.4758008122444153,0.07109632295375252,0.09393819305981121,0.08243482356320936,6.278727648877996,12.26460865407887,-0.049455904731944667
kmeans_n_clusters_6,0.4703306555747986,0.04426371194722465,0.05316541881464444,0.055224565203420097,6.374346678038897,10.214716357263091,-0.0497534780642338
kmeans_n_clusters_7,0.4693872034549713,0.03122965998466817,0.039817403900187565,0.03965158066882197,5.786336472799342,10.556855560119503,-0.03445904587314506
