,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20
0,0,0,1,1,1,3,6,4,-1,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,0,1,2,3,0,1,3,0,0,-1,17,50,77,61,68,13,70,180,88,41,104,167,100,55,51,90,72,191,176,67
1,0,1,0,2,2,5,4,6,-1,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,-1,55,78,196,142,48,187,153,183,59,53,148,10,113,82,111,41,94,142,201,118
2,0,0,1,1,1,3,6,4,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,0,1,2,3,0,1,3,0,0,0,99,67,64,205,171,159,142,68,40,47,119,71,44,62,210,173,101,115,189,172
3,0,1,2,2,2,1,5,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,4,0,0,0,1,2,4,2,3,0,-1,31,30,206,52,68,31,163,152,91,211,0,142,63,175,81,194,110,123,170,191
4,0,1,0,2,2,5,5,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,7,0,0,0,0,2,4,1,2,0,-1,39,47,206,75,163,25,173,204,99,57,74,165,79,34,125,122,199,99,101,81
5,0,1,0,0,3,4,3,7,-1,1,0,0,0,0,0,0,0,0,0,1,3,0,5,4,3,0,0,1,2,1,0,6,6,0,-1,121,90,16,202,75,141,155,67,64,139,179,78,124,106,13,132,188,51,74,142
6,0,1,0,0,3,4,1,5,2,2,0,0,0,0,0,0,0,0,0,1,3,0,5,4,6,0,0,1,2,1,0,6,6,0,19,83,166,168,101,205,122,159,105,151,190,56,123,62,109,137,98,98,148,71,167
7,0,0,2,3,0,2,0,2,3,3,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,1,3,5,4,7,0,21,19,131,98,174,158,185,207,122,71,84,173,120,93,184,186,14,81,44,154,73
8,0,0,1,1,1,3,6,4,4,0,0,0,0,0,0,0,0,0,1,0,1,3,3,3,1,0,1,2,3,0,1,3,4,0,-1,66,29,5,211,176,38,110,120,185,50,44,139,127,75,206,1,148,12,125,170
9,0,0,1,1,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,1,1,4,0,3,7,0,1,2,3,2,4,3,4,0,-1,38,24,35,125,198,200,152,123,170,52,210,10,201,33,116,87,2,145,127,108
10,0,1,0,0,3,4,1,5,-1,-1,0,0,0,0,0,0,0,0,0,1,3,0,5,4,6,0,0,1,2,1,0,6,6,0,24,1,58,169,209,181,111,205,50,128,72,83,58,9,32,84,135,57,123,152,12
11,0,0,1,1,1,1,5,0,6,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,7,0,1,2,3,2,4,3,4,0,3,192,80,193,163,15,130,142,175,59,121,57,193,124,208,127,163,106,172,96,84
12,0,1,0,2,2,5,4,6,7,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5,2,0,0,0,0,4,2,0,1,0,15,117,120,132,62,69,92,44,24,106,72,194,86,6,125,146,58,188,180,7,87
13,0,0,1,1,1,1,5,0,6,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,7,0,1,2,3,2,4,3,4,0,3,11,73,184,63,5,57,92,43,48,27,29,178,18,49,38,89,8,43,72,103
14,0,1,2,2,2,5,4,6,-1,-1,0,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,-1,20,176,100,40,75,42,91,66,211,76,122,52,131,201,59,183,134,189,157,145
