,abilities
kmeans_n_clusters_1,0.34659314
kmeans_n_clusters_2,0.48800018
kmeans_n_clusters_3,0.52784854
kmeans_n_clusters_4,0.52520525
kmeans_n_clusters_5,0.5194041
kmeans_n_clusters_6,0.51214945
kmeans_n_clusters_7,0.5098429
kmeans_n_clusters_8,0.50544274
dbscan_eps_0_1_min_samples_2,0.52548444
dbscan_eps_0_2_min_samples_2,0.5276741
dbscan_eps_0_3_min_samples_2,0.52784854
dbscan_eps_0_4_min_samples_2,0.52784854
dbscan_eps_0_5_min_samples_2,0.48800018
dbscan_eps_0_6_min_samples_2,0.48800018
dbscan_eps_0_7_min_samples_2,0.48800018
dbscan_eps_0_8_min_samples_2,0.48800018
dbscan_eps_0_9_min_samples_2,0.48800018
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.34659314
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.48800018
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.52784854
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5252949
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.51863307
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.4967271
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5096226
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5224167
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.34659314
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.4491135
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.4837501
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.49523047
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5211848
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5134906
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.50983864
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.50698954
mean_shift_,0.52784854
optics_,0.42205772
random_model_n1,0.43587804
random_model_n2,0.43592438
random_model_n3,0.43634406
random_model_n4,0.43662995
random_model_n5,0.43601292
random_model_n6,0.43620083
random_model_n7,0.43636838
random_model_n8,0.43598646
random_model_n9,0.43650204
random_model_n10,0.4360257
random_model_n11,0.4362654
random_model_n12,0.4357676
random_model_n13,0.43569973
random_model_n14,0.43595383
random_model_n15,0.43591443
random_model_n16,0.4372045
random_model_n17,0.43553475
random_model_n18,0.4358104
random_model_n19,0.436011
random_model_n20,0.43594128
random_model_n21,0.43570393
random_model_n22,0.4360397
random_model_n23,0.43643367
random_model_n24,0.43599892
average_model,0.4889336
optimal_clustering,0.5279594
