,abilities
kmeans_n_clusters_1,0.4559208
kmeans_n_clusters_2,0.5005595
kmeans_n_clusters_3,0.5062022
kmeans_n_clusters_4,0.5094759
kmeans_n_clusters_5,0.5068756
kmeans_n_clusters_6,0.5055249
kmeans_n_clusters_7,0.50519097
kmeans_n_clusters_8,0.5062358
dbscan_eps_0_1_min_samples_2,0.49828666
dbscan_eps_0_2_min_samples_2,0.5103841
dbscan_eps_0_3_min_samples_2,0.51039976
dbscan_eps_0_4_min_samples_2,0.51039976
dbscan_eps_0_5_min_samples_2,0.51039976
dbscan_eps_0_6_min_samples_2,0.4559208
dbscan_eps_0_7_min_samples_2,0.4559208
dbscan_eps_0_8_min_samples_2,0.4559208
dbscan_eps_0_9_min_samples_2,0.4559208
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.4559208
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.50052017
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.50509024
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5090845
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5088555
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.51243156
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5094652
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.50950694
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.4559208
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.51039976
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5142862
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.5151781
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5151271
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.51403016
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.512452
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.5117832
mean_shift_,0.4988168
optics_min_samples_7_xi_0_08_min_cluster_size_0_1,0.51039976
random_model_n1,0.47725648
random_model_n2,0.47665903
random_model_n3,0.47656512
random_model_n4,0.47690693
random_model_n5,0.47663787
random_model_n6,0.47689924
random_model_n7,0.47657466
random_model_n8,0.47682115
random_model_n9,0.47652072
random_model_n10,0.47652808
random_model_n11,0.47667074
random_model_n12,0.47663787
random_model_n13,0.47649977
random_model_n14,0.47647634
random_model_n15,0.47642264
random_model_n16,0.4765858
random_model_n17,0.47674507
random_model_n18,0.47664258
random_model_n19,0.47673282
random_model_n20,0.47661224
random_model_n21,0.47655797
random_model_n22,0.47672063
random_model_n23,0.47662178
random_model_n24,0.47653663
average_model,0.4977091
optimal_clustering,0.5182474
