,abilities
kmeans_n_clusters_1,0.47042862
kmeans_n_clusters_2,0.51682144
kmeans_n_clusters_3,0.5362932
kmeans_n_clusters_4,0.5339279
kmeans_n_clusters_5,0.53080493
kmeans_n_clusters_6,0.5312469
kmeans_n_clusters_7,0.5316329
kmeans_n_clusters_8,0.52889293
dbscan_eps_0_1_min_samples_2,0.47042862
dbscan_eps_0_2_min_samples_2,0.47042862
dbscan_eps_0_3_min_samples_2,0.47042862
dbscan_eps_0_4_min_samples_2,0.47042862
dbscan_eps_0_5_min_samples_2,0.47042862
dbscan_eps_0_6_min_samples_2,0.47042862
dbscan_eps_0_7_min_samples_2,0.47042862
dbscan_eps_0_8_min_samples_2,0.47042862
dbscan_eps_0_9_min_samples_2,0.47042862
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.47042862
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.4980145
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.503532
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.50810796
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5113601
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.508811
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.50541246
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5084314
spectral_clustering_n_clusters_1_eigen_solver_arpack,0.47042862
spectral_clustering_n_clusters_2_eigen_solver_arpack,0.47422838
spectral_clustering_n_clusters_3_eigen_solver_arpack,0.5228426
spectral_clustering_n_clusters_4_eigen_solver_arpack,0.5227715
spectral_clustering_n_clusters_5_eigen_solver_arpack,0.5386397
spectral_clustering_n_clusters_6_eigen_solver_arpack,0.53817576
spectral_clustering_n_clusters_7_eigen_solver_arpack,0.5360489
spectral_clustering_n_clusters_8_eigen_solver_arpack,0.5362078
mean_shift_,0.4747127
optics_,0.48677623
random_model_n1,0.50036156
random_model_n2,0.5000931
random_model_n3,0.49868494
random_model_n4,0.49958804
random_model_n5,0.49979743
random_model_n6,0.5002008
random_model_n7,0.50029093
random_model_n8,0.5002498
random_model_n9,0.49932083
random_model_n10,0.49955514
random_model_n11,0.5000556
random_model_n12,0.49975574
random_model_n13,0.49988177
random_model_n14,0.4999333
random_model_n15,0.50034636
random_model_n16,0.5001747
random_model_n17,0.49935973
random_model_n18,0.49987605
random_model_n19,0.49939135
random_model_n20,0.50131357
random_model_n21,0.50108314
random_model_n22,0.49969673
random_model_n23,0.49936453
random_model_n24,0.49965334
random_model_n25,0.49946222
random_model_n26,0.5009662
random_model_n27,0.49962026
random_model_n28,0.49967334
random_model_n29,0.50003576
average_model,0.5003898
optimal_clustering,0.53900033
