,abilities,v_measure,mutual_info,adjusted_rand_score,calinski_harabasz,davies_bouldin,silhouette
optimal_clustering,0.5205715298652649,,,,,,
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.5178095698356628,0.746499172110808,1.076901050760525,0.5671326393352374,1128.3045678768265,0.7258554007950212,0.4648632051091536
kmeans_n_clusters_6,0.5177803635597229,0.6555749542895023,0.9457897780288063,0.4938689115729345,1230.9155513410917,0.6868001135445106,0.4713745947956012
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5177785158157349,0.806181714708994,1.0717829433101058,0.7136066420199114,904.2883446597068,0.8719823947561736,0.413851990509791
dbscan_eps_0_6_min_samples_2,0.5176507830619812,0.6658102440536698,0.9605696130275388,0.4989854512200947,1242.3094955779816,0.6928672927411488,0.4705946396908591
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5165839195251465,0.7171723258391798,1.0769010507605252,0.5226153496096454,1077.933366895888,0.7043030744899408,0.4562673581156206
dbscan_eps_0_7_min_samples_2,0.5164728760719299,0.6429246960616491,0.9748509283778293,0.46380878892699745,1249.675092962571,0.738773386092835,0.4666003791526142
dbscan_eps_0_8_min_samples_2,0.5162598490715027,0.6412566028617773,1.0043776662313437,0.44632429953536334,1278.8306593227944,0.6683777702322606,0.47708178493532594
kmeans_n_clusters_7,0.5162045359611511,0.6206840655826813,0.9348776272727787,0.4474234998324229,1228.7049159537048,0.7537838186179613,0.46007266931443425
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.5155805349349976,0.9580052486153884,1.0524609964105394,0.9760724840361541,902.0451514367674,0.8834213799333742,0.4627288686439212
kmeans_n_clusters_8,0.5155372619628906,0.6582157874762639,1.025394601581241,0.46439333512469305,1197.8323136626486,0.6817013515522572,0.464037013072906
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.5155112743377686,0.9711329099998115,1.0920166122614183,0.984961018524102,424.88924372245754,4.614135058778084,0.2773124539320556
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.5154188275337219,0.9360248287670425,1.0736289856104997,0.958019880553739,505.3893056273424,9.430885019869992,0.4529488676010932
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5152111649513245,0.691312578604581,1.076901050760525,0.4788138718464117,1140.185201873195,0.6825619288671824,0.45320110197038116
dbscan_eps_0_5_min_samples_2,0.5146631002426147,0.54574297232839,0.7334264598146214,0.3998423003891702,1193.8342599197697,0.7992621675823041,0.4288967380338651
dbscan_eps_0_4_min_samples_2,0.5144062638282776,0.5518111902099114,0.6710632103707965,0.44849625895841627,1137.5237767382412,0.7395076031675561,0.4586825733277454
kmeans_n_clusters_5,0.513411283493042,0.6086333355309655,0.8064317622163156,0.5553314077838798,925.7532796938058,0.8645103016997162,0.45280449175260085
kmeans_n_clusters_3,0.5133426189422607,0.6316891751118056,0.6939409292848457,0.605685017288417,1226.7381862269099,0.7038206894163963,0.5055198811056094
kmeans_n_clusters_4,0.5131199359893799,0.5549349191120738,0.6717322994084238,0.426968540666853,1121.6334121630425,0.7290184215260818,0.4562402801800339
dbscan_eps_0_3_min_samples_2,0.5126394033432007,0.5865055909910202,0.6442908353944743,0.5720828592151161,1232.4414451243435,0.7118372550705955,0.5028667705074241
dbscan_eps_0_9_min_samples_2,0.5123220682144165,0.6521808224817147,1.0349585739660252,0.6428681512141111,78.96454167423524,3.4315006140389377,-0.14574452207437133
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5092144012451172,0.6147330888113852,0.7594047656657171,0.5200246042063801,755.5312300433812,0.8247117770014691,0.3616539695424712
average_model,0.5017173290252686,,,,,,
kmeans_n_clusters_2,0.496020644903183,0.6712675422995464,0.5838831969264114,0.5474339132241787,1200.8108158765106,0.5102165832926675,0.6204098822670171
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4956550598144531,0.6185248456912666,0.5392124998118504,0.5199388904593825,1220.1018162580556,0.5149713525055786,0.6200415346688614
dbscan_eps_0_2_min_samples_2,0.4954625964164734,0.585504646693597,0.511876260004778,0.5084488779971362,1223.6651196077444,0.5226923562505194,0.6178442642287579
optics_min_samples_7_xi_0_1_min_cluster_size_0_2,0.49535685777664185,0.6951589125205114,0.6012839313623368,0.5471373593736648,1155.3614078347744,0.5012019358742483,0.6186319655531244
random_model_n3,0.47741469740867615,0.012591289258623488,0.013832292413198444,0.00957427199028477,5.130230269062325,10.726338086440515,-0.03675884070356515
random_model_n30,0.4771721363067627,0.01148628338036685,0.012592193547825509,0.00810406527330072,2.6084678270462187,17.0006678095562,-0.0421426832094414
random_model_n14,0.4771234095096588,0.011356015164862092,0.012454210744663907,0.008212360950240276,2.7308285585733536,15.144459039126495,-0.038843396021791474
random_model_n29,0.477121502161026,0.008303744879965907,0.009116071793033115,0.005010360359644539,2.68617806005806,17.722206082854925,-0.03588580716197761
random_model_n10,0.4770733714103699,0.004405939745227761,0.004839419815500651,0.0007325612338366391,2.6593286146129986,16.302039349144973,-0.03893834471226026
random_model_n24,0.4770589768886566,0.003503005034435363,0.0038429987600335225,-2.7715894184757903e-05,2.0014614073795096,17.170380137390456,-0.029372510792474167
random_model_n15,0.4769979417324066,0.0058046788081040695,0.006355218400353246,0.0028588098772608602,2.0019645712694345,45.728801947736294,-0.025718917530599725
random_model_n27,0.4769833981990814,0.0036210057938414883,0.003976488697707253,-4.870179371452049e-05,1.3016695781214083,29.539251671008014,-0.02447223847241761
random_model_n1,0.47695520520210266,0.003710109608491656,0.00407298649772056,0.0001108018514743797,0.5161284669808539,29.41195544795438,-0.02438132556251815
random_model_n20,0.4769448935985565,0.002979560845300224,0.0032706250663621372,-0.0007550169918545699,0.602782101048765,29.507598140957843,-0.025281886292358932
random_model_n5,0.4769309163093567,0.002058112229847039,0.002260349320066135,-0.0017115108426278643,0.3663539946246383,32.938589113454256,-0.01924993423049157
random_model_n28,0.4769006073474884,0.0030771878136052425,0.0033781993661531617,-0.0007439804398152328,0.25895432595671075,48.61642240076668,-0.01545994260011465
random_model_n18,0.4768989086151123,0.0022713505202527373,0.0024905683348778185,-0.0016341521791412817,1.6808962321355745,17.469972648099063,-0.03562760126589037
random_model_n25,0.47686395049095154,0.002561424466673397,0.00281054646670742,-0.0012685369766400633,0.5367973184716831,55.77789928478787,-0.02023471824958579
