,abilities
dbscan_eps_0_1_min_samples_2,0.38428235
dbscan_eps_0_2_min_samples_2,0.5163534
dbscan_eps_0_3_min_samples_2,0.543597
dbscan_eps_0_4_min_samples_2,0.5446752
dbscan_eps_0_5_min_samples_2,0.55043954
dbscan_eps_0_6_min_samples_2,0.5500057
dbscan_eps_0_7_min_samples_2,0.55003226
dbscan_eps_0_8_min_samples_2,0.54971313
dbscan_eps_0_9_min_samples_2,0.38762254
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.46348277
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.52089477
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.53816676
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.533389
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.52716005
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.52112865
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5205015
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5205015
kmeans_n_clusters_1,0.38428235
kmeans_n_clusters_2,0.5163534
kmeans_n_clusters_3,0.5444844
kmeans_n_clusters_4,0.54355365
kmeans_n_clusters_5,0.5484291
kmeans_n_clusters_6,0.5491976
kmeans_n_clusters_7,0.55060846
kmeans_n_clusters_8,0.5491779
mean_shift_,0.38428235
optics_,0.5163534
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.54342514
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5466784
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5511256
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.5508488
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.55035
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5494546
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.5163534
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.46212262
random_model_n1,0.48726144
random_model_n2,0.48641735
random_model_n3,0.4858216
random_model_n4,0.48589456
random_model_n5,0.4871586
random_model_n6,0.48768482
random_model_n7,0.48798373
random_model_n8,0.48833033
random_model_n9,0.48607802
random_model_n10,0.48725113
random_model_n11,0.48659715
random_model_n12,0.48702115
random_model_n13,0.4872872
random_model_n14,0.48771214
random_model_n15,0.48556763
random_model_n16,0.4874793
random_model_n17,0.4865402
random_model_n18,0.48614866
random_model_n19,0.4858321
random_model_n20,0.484699
random_model_n21,0.4890756
random_model_n22,0.48632956
random_model_n23,0.48656362
random_model_n24,0.487791
random_model_n25,0.4869483
random_model_n26,0.4874258
random_model_n27,0.4865758
random_model_n28,0.4858695
random_model_n29,0.48698536
random_model_n30,0.48725006
random_model_n31,0.48429984
random_model_n32,0.48644117
random_model_n33,0.4868893
average_model,0.51442367
optimal_clustering,0.55416507
