,difficulty,discrimination
0,0.39908585,0.9900217
1,0.38395843,0.9900503
2,0.39601448,0.9895558
3,0.4014622,0.98973966
4,0.39737147,0.9900714
5,0.38391644,0.9887514
6,0.3624002,0.95502746
7,0.39537644,0.990156
8,0.39943504,0.99001694
9,0.40070602,0.98996764
10,0.38421875,0.9888018
11,0.40000394,0.9900351
12,0.37439606,0.95543647
13,0.39925164,0.9899972
14,0.3880252,0.989846
15,0.39269742,0.9901012
16,0.40213913,0.98994106
17,0.39315888,0.99017006
18,0.38154975,0.9572874
19,0.39012402,0.9897938
20,0.3712978,0.9583013
21,0.3622596,0.95528
22,0.39159092,0.988708
23,0.39071077,0.99027336
24,0.3965614,0.9895133
25,0.40218395,0.9900307
26,0.38376328,0.9889681
27,0.40184262,0.98976535
28,0.387131,0.9882148
29,0.3973546,0.9899892
30,0.39711168,0.9900103
31,0.38411137,0.988745
32,0.39906228,0.989899
33,0.38679162,0.99010926
34,0.36935398,0.9573438
35,0.3968133,0.98925555
36,0.40017298,0.99008936
37,0.40066504,0.9900735
38,0.392299,0.99009144
39,0.39732435,0.98967195
40,0.39222583,0.99013513
41,0.38427287,0.98912317
42,0.3997383,0.98859495
43,0.39612103,0.98927623
44,0.39723673,0.990116
45,0.3954238,0.9891579
46,0.3846127,0.9885663
47,0.38401216,0.98863643
48,0.39173785,0.98891693
49,0.4014831,0.9900911
50,0.4025304,0.9899511
51,0.39546758,0.989576
52,0.3957841,0.9900809
53,0.4014204,0.9900384
54,0.39618772,0.99010223
55,0.3874655,0.99021256
56,0.40093124,0.98998594
57,0.38384774,0.98875064
58,0.388474,0.9898221
59,0.39321205,0.99017626
60,0.38448796,0.9890087
61,0.4002122,0.9901174
62,0.38969713,0.9881446
63,0.38182893,0.95634377
64,0.39567417,0.9891926
65,0.39992166,0.99009144
66,0.40145534,0.9900813
67,0.3955455,0.9895578
68,0.32293,0.75796556
69,0.38776708,0.9891421
70,0.39212924,0.99001735
71,0.4021648,0.98979574
72,0.39232144,0.990247
73,0.3981749,0.99009275
74,0.39904678,0.9899843
75,0.39742115,0.9894652
76,0.39717987,0.9890912
77,0.3694175,0.9575758
78,0.3873838,0.98862445
79,0.39085135,0.9887313
80,0.3962184,0.9896308
81,0.40005016,0.9899574
82,0.38711175,0.9895867
83,0.38406134,0.9886071
84,0.38460702,0.9885453
85,0.40005448,0.9897236
86,0.3605651,0.95503956
87,0.39768788,0.9897108
88,0.39065355,0.98712665
89,0.39066273,0.9899812
90,0.3872013,0.9899384
91,0.3974183,0.98929137
92,0.40013412,0.99007773
93,0.38403332,0.98866403
94,0.3894754,0.98974043
95,0.38624173,0.98921233
96,0.39644024,0.9901321
97,0.40068927,0.990026
98,0.39578208,0.9889899
99,0.39946976,0.99008197
100,0.39965338,0.98990834
101,0.397396,0.98928833
102,0.39656335,0.9900915
103,0.39419976,0.99010307
104,0.39725247,0.99001867
105,0.32300344,0.75789464
106,0.38471514,0.988562
107,0.4020799,0.9898918
108,0.3969808,0.99015546
109,0.39783597,0.99009466
110,0.39086828,0.98736435
111,0.37498233,0.95541096
112,0.3971466,0.99012077
113,0.3924086,0.99018365
114,0.4003005,0.98935145
115,0.39001617,0.9902494
116,0.3933816,0.99015975
117,0.39593497,0.9893157
118,0.39557046,0.99006927
119,0.39714032,0.9897356
120,0.39639112,0.9897797
121,0.40518084,0.9894144
122,0.3915434,0.99020654
123,0.393574,0.9899746
124,0.39873484,0.99012583
125,0.40109256,0.9899941
126,0.3836178,0.9887636
127,0.39449483,0.98860174
128,0.38633728,0.98920363
129,0.39802316,0.98986965
130,0.39603126,0.98994094
131,0.38440454,0.9886288
132,0.40012434,0.98995346
133,0.34669358,0.91784906
134,0.39652824,0.9898642
135,0.40227315,0.9895223
136,0.38463005,0.9890275
137,0.40238604,0.98997974
138,0.39272496,0.98994213
139,0.40111876,0.9899651
140,0.35683635,0.86499804
141,0.39184013,0.99012345
142,0.39313138,0.99018186
143,0.38898435,0.98996454
144,0.39387298,0.9901418
145,0.39667863,0.98968875
146,0.39959055,0.9900819
147,0.40094975,0.98995084
148,0.4011161,0.99008095
149,0.40017506,0.9900939
150,0.40488702,0.98966986
151,0.39382,0.99010885
152,0.39143357,0.99002403
153,0.39982256,0.99000555
154,0.3995304,0.9899921
155,0.3892103,0.99012256
156,0.39104536,0.9887562
157,0.39828214,0.9900887
158,0.38161102,0.9563921
159,0.4017269,0.9899928
160,0.3840735,0.9885015
161,0.3916588,0.9901111
162,0.39884248,0.9899029
163,0.39506793,0.99017364
164,0.39520663,0.98988426
165,0.36953402,0.957296
166,0.35943314,0.95489687
167,0.40095854,0.9893426
168,0.3928687,0.9900141
