,abilities
kmeans_n_clusters_1,0.42036444
kmeans_n_clusters_2,0.4789093
kmeans_n_clusters_3,0.49492124
kmeans_n_clusters_4,0.5047113
kmeans_n_clusters_5,0.5071299
kmeans_n_clusters_6,0.50746727
kmeans_n_clusters_7,0.5074696
kmeans_n_clusters_8,0.5077249
dbscan_eps_0_1_min_samples_2,0.5040781
dbscan_eps_0_2_min_samples_2,0.42036444
dbscan_eps_0_3_min_samples_2,0.42036444
dbscan_eps_0_4_min_samples_2,0.42036444
dbscan_eps_0_5_min_samples_2,0.42036444
dbscan_eps_0_6_min_samples_2,0.42036444
dbscan_eps_0_7_min_samples_2,0.42036444
dbscan_eps_0_8_min_samples_2,0.42036444
dbscan_eps_0_9_min_samples_2,0.42036444
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.42036444
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.4785157
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.49509358
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5047735
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5065044
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.50735104
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5075786
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5077328
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.42036444
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.47609374
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.4937425
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.50437033
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5057937
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5035139
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.5055885
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.5070187
mean_shift_,0.42036444
optics_min_samples_7_xi_0_05_min_cluster_size_0_1,0.42036444
random_model_n1,0.4839351
random_model_n2,0.48390347
random_model_n3,0.48388174
random_model_n4,0.48387143
random_model_n5,0.48388046
random_model_n6,0.48388785
random_model_n7,0.4838554
random_model_n8,0.48389098
random_model_n9,0.4838612
random_model_n10,0.4838839
random_model_n11,0.48391208
random_model_n12,0.48394752
random_model_n13,0.48392713
random_model_n14,0.4838605
random_model_n15,0.4838616
random_model_n16,0.48394656
random_model_n17,0.48393518
random_model_n18,0.48391587
random_model_n19,0.48378342
random_model_n20,0.48381484
random_model_n21,0.48380712
random_model_n22,0.4839702
random_model_n23,0.48379487
random_model_n24,0.48388126
random_model_n25,0.4839186
random_model_n26,0.48400277
random_model_n27,0.483817
random_model_n28,0.4838822
random_model_n29,0.4838857
random_model_n30,0.4837961
random_model_n31,0.48384643
random_model_n32,0.4838655
random_model_n33,0.48390678
random_model_n34,0.4837569
random_model_n35,0.4838211
random_model_n36,0.48391107
random_model_n37,0.48392993
random_model_n38,0.48383203
average_model,0.47036353
optimal_clustering,0.50908977
