,abilities,v_measure,mutual_info,adjusted_rand_score,calinski_harabasz,davies_bouldin,silhouette
optimal_clustering,0.5315331816673279,,,,,,
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.5310014486312866,0.7377502607816795,0.9461428680702508,0.7416972104357655,1210.036906533862,0.8775009175223959,0.5624471692461656
kmeans_n_clusters_4,0.5300611853599548,0.7621581315366253,0.9085501833616918,0.752645978965813,1574.884252605109,0.6964669740807312,0.6240370154055117
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5299776196479797,0.7475164732583643,0.8881088321082623,0.7371536020969371,1565.8279253223106,0.6887951708052156,0.6233344352625235
kmeans_n_clusters_6,0.5299437046051025,0.6642779541262969,0.9077704497434421,0.5877705201782824,1375.479688059787,0.8648663150973769,0.5126165366121204
kmeans_n_clusters_7,0.5299046635627747,0.6565873577431042,0.9313493375557839,0.5852404640009624,1310.890003622529,0.8798462419259726,0.49569257851072646
kmeans_n_clusters_8,0.5298383831977844,0.6462010601997347,0.9370959695291685,0.5775191308086012,1256.578304945911,0.888804235248373,0.4927314797601889
spectral_clustering_n_clusters_5_eigen_solver_arpack,0.5296750664710999,0.7594928365744579,0.915751163352798,0.7625305198712711,1212.0370760756948,0.6999182732221976,0.607831097685727
spectral_clustering_n_clusters_7_eigen_solver_arpack,0.5295544862747192,0.687639278185304,0.8741180122760721,0.689322510954987,1001.8097786255047,0.6968191952249773,0.5863902906284317
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5294172763824463,0.6670557833594266,0.9439677958782944,0.5917261162364781,1280.1834168755895,0.8866713068724988,0.4869551909706782
kmeans_n_clusters_5,0.5293809771537781,0.6679199978369594,0.8767632226586324,0.6007284746213646,1416.709074810951,0.8480609382626568,0.5172339780985685
dbscan_eps_0_2_min_samples_2,0.529190182685852,0.7420138617766571,1.0165699729206525,0.7965152861408453,190.05714208544165,2.000115576122238,0.2767701672286298
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5291608572006226,0.667347888142715,0.86413292066511,0.6269920699162237,1359.8259918902138,0.8890785323160367,0.5049171920159657
spectral_clustering_n_clusters_8_eigen_solver_arpack,0.5286744832992554,0.6549119884290875,0.9032511111457542,0.6042499017765947,1000.4848640538089,0.7548554425706486,0.490241566678632
spectral_clustering_n_clusters_4_eigen_solver_arpack,0.5282834768295288,0.7683259587455968,0.8936465011088391,0.7695087108775029,1377.1483516203225,0.6841746091166447,0.610448158118496
spectral_clustering_n_clusters_6_eigen_solver_arpack,0.5281161665916443,0.6810235663493742,0.8312143104287739,0.6736278944105913,979.3797246084075,0.7070111560376358,0.5829088609072747
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5273792147636414,0.6983239333410878,0.9006883450698604,0.6900407871418631,643.3397335450587,1.4849179988982657,0.42372312913212873
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.526558518409729,0.7602195597506123,0.828262690198726,0.7634797210286127,1498.499557686882,0.6542476132371017,0.6308375051374887
mean_shift_,0.5264842510223389,0.7777423158477751,0.8489606119828579,0.787021191687605,1528.3604566791053,0.633359119916526,0.6316934202910279
dbscan_eps_0_1_min_samples_2,0.525870680809021,0.6212210720247738,0.9782459728608838,0.669175977858666,71.57448177636178,5.561081569764601,0.14280344736541964
kmeans_n_clusters_3,0.5257201194763184,0.7345366916717055,0.797921826558375,0.7310349735632942,1549.9855321649682,0.6103657512894457,0.6394728016173553
spectral_clustering_n_clusters_3_eigen_solver_arpack,0.5250619053840637,0.7151423985253781,0.7745457096901387,0.7049705305386493,1529.287653755628,0.6240472436483352,0.6353399596520385
optics_min_samples_7_xi_0_01_min_cluster_size_0_2,0.5141444206237793,0.6033209963440898,0.747811645298843,0.5210454396735887,239.70162011695962,2.5237919119757564,0.3071698082330412
kmeans_n_clusters_2,0.501415491104126,0.5698750759514254,0.5050297189285022,0.4887846854475286,1349.8083682884032,0.49576050417812606,0.6443433899628556
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.5014058947563171,0.5830077306628615,0.5154495514442541,0.4984740520617829,1343.7926599486025,0.48936583038318526,0.6456313746876999
spectral_clustering_n_clusters_2_eigen_solver_arpack,0.501198410987854,0.5888298041843641,0.5200701860584064,0.5025927838232805,1342.241971628971,0.485993465316874,0.645875021795432
average_model,0.4883018732070923,,,,,,
random_model_n9,0.48320919275283813,0.009951536614800856,0.010929919815814287,0.0068758611628750325,2.9011469117214332,14.634765972847775,-0.03910043450977091
random_model_n6,0.48299822211265564,0.0051396432335666774,0.005644274389316195,0.0015649796035279025,2.192885563737767,23.341698419977984,-0.03439506207952939
random_model_n34,0.4829496741294861,0.004893851446341441,0.005374549543417678,0.0013479634652329626,2.8674695661449334,41.65326205129109,-0.03396528593203652
random_model_n14,0.4827806353569031,0.003774939033986348,0.004146503902870524,0.0001660908897340074,1.7395811984435534,18.49192080787591,-0.03316903372062137
random_model_n52,0.48277756571769714,0.005637534420359173,0.006188231961645613,0.0022303299157859433,1.4743444539173647,33.79843434469615,-0.02911037878339775
random_model_n17,0.4827764630317688,0.0023153276659054604,0.0025432209058679767,-0.0014601253935624097,1.2192634391763402,21.206747020678105,-0.026505637242544077
