,abilities
kmeans_n_clusters_1,0.41967615
kmeans_n_clusters_2,0.4963617
kmeans_n_clusters_3,0.5194323
kmeans_n_clusters_4,0.5237871
kmeans_n_clusters_5,0.525876
kmeans_n_clusters_6,0.5260266
kmeans_n_clusters_7,0.5265769
kmeans_n_clusters_8,0.52649575
dbscan_eps_0_1_min_samples_2,0.52129734
dbscan_eps_0_2_min_samples_2,0.5234097
dbscan_eps_0_3_min_samples_2,0.42530972
dbscan_eps_0_4_min_samples_2,0.42175028
dbscan_eps_0_5_min_samples_2,0.4205671
dbscan_eps_0_6_min_samples_2,0.4205671
dbscan_eps_0_7_min_samples_2,0.41967615
dbscan_eps_0_8_min_samples_2,0.41967615
dbscan_eps_0_9_min_samples_2,0.41967615
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.41967615
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.49630967
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.51977456
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5235535
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5239531
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.52438045
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5254029
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5228406
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.41967615
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.49684054
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.51985544
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.51955974
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5181705
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.522959
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.52172476
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.52013445
mean_shift_,0.5202136
optics_min_samples_7_xi_0_01_min_cluster_size_0_2,0.5115846
random_model_n1,0.48360407
random_model_n2,0.48359528
random_model_n3,0.48324615
random_model_n4,0.48355168
random_model_n5,0.48352626
random_model_n6,0.48390993
random_model_n7,0.48372445
random_model_n8,0.48365214
random_model_n9,0.48406366
random_model_n10,0.48361194
random_model_n11,0.48360202
random_model_n12,0.48363012
random_model_n13,0.4835634
random_model_n14,0.48375773
random_model_n15,0.48365822
random_model_n16,0.4837317
random_model_n17,0.4837682
random_model_n18,0.4835786
random_model_n19,0.48349458
random_model_n20,0.48358324
random_model_n21,0.48348156
random_model_n22,0.48335707
random_model_n23,0.48331174
random_model_n24,0.48360676
random_model_n25,0.4835509
random_model_n26,0.4837018
random_model_n27,0.48355436
random_model_n28,0.4832839
random_model_n29,0.4835647
random_model_n30,0.48366845
random_model_n31,0.4835556
random_model_n32,0.48368472
random_model_n33,0.48372132
random_model_n34,0.48393127
random_model_n35,0.48350954
random_model_n36,0.4835435
random_model_n37,0.4836042
random_model_n38,0.48337725
random_model_n39,0.48362678
random_model_n40,0.48320377
random_model_n41,0.483523
random_model_n42,0.48371416
random_model_n43,0.48372868
random_model_n44,0.4837448
random_model_n45,0.4836175
random_model_n46,0.48344734
random_model_n47,0.48361948
random_model_n48,0.48366162
random_model_n49,0.48356226
random_model_n50,0.4837124
random_model_n51,0.48366582
random_model_n52,0.48374677
average_model,0.4898591
optimal_clustering,0.5270417
