,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack,spectral_clustering_n_clusters_2_eigen_solver_arpack,spectral_clustering_n_clusters_3_eigen_solver_arpack,spectral_clustering_n_clusters_4_eigen_solver_arpack,spectral_clustering_n_clusters_5_eigen_solver_arpack,spectral_clustering_n_clusters_6_eigen_solver_arpack,spectral_clustering_n_clusters_7_eigen_solver_arpack,spectral_clustering_n_clusters_8_eigen_solver_arpack,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6
0,0,1,1,3,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,4,4,4,0,0,0,0,0,2,3,3,0,-1,1,0,2,2,2,2
1,0,1,1,3,0,4,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,5,5,7,0,0,0,0,0,2,3,3,0,-1,0,1,0,2,1,1
2,0,1,1,3,0,4,3,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,0,0,5,0,0,0,0,0,2,3,3,0,-1,0,0,1,1,2,0
3,0,1,1,3,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,3,3,0,0,0,0,0,0,2,3,3,0,-1,1,2,0,1,2,2
4,0,1,1,1,4,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,3,3,3,3,0,0,0,0,0,2,3,3,0,-1,1,2,0,0,0,1
5,0,1,1,3,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,3,3,3,0,0,0,0,0,2,3,3,0,-1,0,0,0,0,1,2
6,0,1,1,3,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,1,3,0,0,0,0,0,2,3,3,0,-1,0,2,1,2,0,0
7,0,1,1,3,0,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,3,3,7,0,0,0,0,0,2,3,3,0,-1,1,1,1,1,0,2
8,0,1,1,3,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,5,5,1,0,0,0,0,0,2,3,3,0,-1,0,1,2,2,2,1
9,0,1,1,3,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,2,3,0,0,0,0,0,2,3,3,0,-1,1,2,1,0,0,1
10,0,1,1,3,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,4,4,5,0,0,0,0,0,2,3,3,0,-1,0,0,1,1,2,1
11,0,1,1,3,0,4,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,1,6,2,0,0,0,0,0,2,3,3,0,-1,2,0,2,2,0,1
12,0,1,1,3,0,4,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,0,4,0,0,0,0,0,2,3,3,0,-1,1,0,1,1,0,2
13,0,1,1,3,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,4,0,7,0,0,0,0,0,2,3,3,0,-1,2,1,2,0,1,1
14,0,1,1,3,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,2,4,6,0,0,0,0,0,2,3,3,0,-1,0,2,0,0,1,0
15,0,1,1,3,0,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,1,2,0,0,0,0,0,0,2,3,3,0,-1,2,0,0,2,0,2
16,0,1,1,3,0,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,3,3,0,-1,1,2,0,0,0,0
17,0,1,1,3,0,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,1,6,4,0,0,0,0,0,2,3,3,0,-1,2,2,1,2,1,1
18,0,1,1,3,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,1,5,6,2,0,0,0,0,0,2,3,3,0,-1,0,2,2,2,1,0
19,0,1,1,3,0,4,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,4,1,0,1,0,0,0,0,0,2,3,3,0,-1,0,1,0,2,2,2
20,0,1,1,3,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,3,5,1,6,0,0,0,0,0,2,3,3,0,-1,2,2,2,0,0,0
21,0,1,1,1,0,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,0,5,7,0,0,0,0,0,2,3,3,0,-1,0,0,1,0,2,0
22,0,1,1,3,0,4,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,1,7,0,0,0,0,0,2,3,3,0,-1,1,1,2,1,1,2
23,0,1,1,3,0,4,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,5,6,0,0,0,0,0,2,3,3,0,-1,2,0,2,1,2,1
24,0,1,1,3,0,1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,0,0,0,0,0,0,0,2,3,3,0,-1,2,0,2,1,2,1
25,0,1,1,1,4,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,3,0,1,1,0,0,0,0,0,2,3,3,0,-1,0,2,2,2,1,2
26,0,1,1,3,0,4,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,4,5,0,0,0,0,0,2,3,3,0,-1,1,2,0,1,1,1
27,0,1,1,3,0,4,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,5,3,1,0,0,0,0,0,2,3,3,0,-1,1,1,1,2,2,2
28,0,1,1,3,0,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,5,0,0,0,0,0,2,3,3,0,-1,2,2,2,0,1,2
29,0,1,1,3,0,4,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,3,0,0,0,0,0,0,2,3,3,0,-1,0,0,1,2,1,1
