,abilities
dbscan_eps_0_1_min_samples_2,0.5179582
dbscan_eps_0_2_min_samples_2,0.5332223
dbscan_eps_0_3_min_samples_2,0.5313732
dbscan_eps_0_4_min_samples_2,0.5309111
dbscan_eps_0_5_min_samples_2,0.51509434
dbscan_eps_0_6_min_samples_2,0.5067624
dbscan_eps_0_7_min_samples_2,0.5071808
dbscan_eps_0_8_min_samples_2,0.5024742
dbscan_eps_0_9_min_samples_2,0.5179582
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.5179582
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.5179582
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.5179582
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5179582
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5179582
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.5179582
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5179582
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5179582
kmeans_n_clusters_1,0.5179582
kmeans_n_clusters_2,0.5108416
kmeans_n_clusters_3,0.49456733
kmeans_n_clusters_4,0.49941823
kmeans_n_clusters_5,0.49208814
kmeans_n_clusters_6,0.48802346
kmeans_n_clusters_7,0.48751056
kmeans_n_clusters_8,0.49053776
mean_shift_,0.5179582
optics_,0.5338541
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.5288786
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5163624
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.51154876
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.50572824
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5021971
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.4978277
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.52157605
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.5183524
random_model_n1,0.49950042
random_model_n2,0.4995567
random_model_n3,0.5002179
random_model_n4,0.49966556
random_model_n5,0.49965662
random_model_n6,0.4996531
random_model_n7,0.49976856
random_model_n8,0.4996399
random_model_n9,0.49965984
random_model_n10,0.49947876
random_model_n11,0.49978033
random_model_n12,0.49950546
random_model_n13,0.4994351
random_model_n14,0.4995768
random_model_n15,0.49957144
random_model_n16,0.49943197
random_model_n17,0.4996599
random_model_n18,0.4997676
random_model_n19,0.4998732
random_model_n20,0.49940905
random_model_n21,0.49978212
random_model_n22,0.49981087
random_model_n23,0.49982756
random_model_n24,0.49933738
random_model_n25,0.5001546
random_model_n26,0.4996131
random_model_n27,0.49964595
random_model_n28,0.49960518
random_model_n29,0.49967197
random_model_n30,0.49959275
random_model_n31,0.49952385
random_model_n32,0.49980885
random_model_n33,0.4994733
random_model_n34,0.5000699
random_model_n35,0.4997543
random_model_n36,0.49963084
random_model_n37,0.49998736
random_model_n38,0.49972263
random_model_n39,0.49955705
random_model_n40,0.49990025
random_model_n41,0.49999797
random_model_n42,0.49953267
random_model_n43,0.49954122
random_model_n44,0.49958503
random_model_n45,0.49958336
random_model_n46,0.49944642
random_model_n47,0.49964452
random_model_n48,0.49967203
random_model_n49,0.49949285
random_model_n50,0.4995303
random_model_n51,0.49954563
random_model_n52,0.5000377
random_model_n53,0.4997138
random_model_n54,0.4995718
random_model_n55,0.50039905
random_model_n56,0.4997178
random_model_n57,0.4995658
random_model_n58,0.49994326
random_model_n59,0.49965096
random_model_n60,0.49992752
random_model_n61,0.49966666
random_model_n62,0.49955574
random_model_n63,0.49945414
random_model_n64,0.49980614
random_model_n65,0.49976337
random_model_n66,0.499728
average_model,0.5110415
optimal_clustering,0.5354063
