,abilities
kmeans_n_clusters_1,0.42120188
kmeans_n_clusters_2,0.49120486
kmeans_n_clusters_3,0.5143735
kmeans_n_clusters_4,0.5180052
kmeans_n_clusters_5,0.521189
kmeans_n_clusters_6,0.5249797
kmeans_n_clusters_7,0.5259871
kmeans_n_clusters_8,0.526096
dbscan_eps_0_1_min_samples_2,0.5208026
dbscan_eps_0_2_min_samples_2,0.5143339
dbscan_eps_0_3_min_samples_2,0.42161912
dbscan_eps_0_4_min_samples_2,0.42161912
dbscan_eps_0_5_min_samples_2,0.42161912
dbscan_eps_0_6_min_samples_2,0.42120188
dbscan_eps_0_7_min_samples_2,0.42120188
dbscan_eps_0_8_min_samples_2,0.42120188
dbscan_eps_0_9_min_samples_2,0.42120188
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.42120188
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.49105242
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.51464206
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.51714265
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5201123
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.524896
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.52576506
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5253992
spectral_clustering_n_clusters_1_eigen_solver_arpack,0.42120188
spectral_clustering_n_clusters_2_eigen_solver_arpack,0.48976737
spectral_clustering_n_clusters_3_eigen_solver_arpack,0.51197726
spectral_clustering_n_clusters_4_eigen_solver_arpack,0.5158242
spectral_clustering_n_clusters_5_eigen_solver_arpack,0.51492584
spectral_clustering_n_clusters_6_eigen_solver_arpack,0.5216405
spectral_clustering_n_clusters_7_eigen_solver_arpack,0.5200857
spectral_clustering_n_clusters_8_eigen_solver_arpack,0.52185154
mean_shift_,0.4910663
optics_min_samples_7_xi_0_1_min_cluster_size_0_2,0.51513034
random_model_n1,0.48991483
random_model_n2,0.4900157
random_model_n3,0.4895406
random_model_n4,0.48991153
random_model_n5,0.48974553
random_model_n6,0.49004558
random_model_n7,0.4898568
random_model_n8,0.4898308
random_model_n9,0.49027202
random_model_n10,0.48994243
random_model_n11,0.48989803
random_model_n12,0.49002197
random_model_n13,0.48987466
random_model_n14,0.49002495
random_model_n15,0.49005508
random_model_n16,0.49003607
random_model_n17,0.49006796
random_model_n18,0.48987633
random_model_n19,0.48983097
random_model_n20,0.48973367
random_model_n21,0.4897136
random_model_n22,0.48963493
random_model_n23,0.4896657
random_model_n24,0.4899453
random_model_n25,0.4898456
random_model_n26,0.4899743
random_model_n27,0.48990682
random_model_n28,0.48955384
random_model_n29,0.48994473
random_model_n30,0.4900355
random_model_n31,0.48983118
random_model_n32,0.48991737
random_model_n33,0.49015898
random_model_n34,0.49017662
random_model_n35,0.48980418
random_model_n36,0.48984104
random_model_n37,0.48988372
random_model_n38,0.48971224
random_model_n39,0.48983532
random_model_n40,0.48953882
random_model_n41,0.48980436
random_model_n42,0.4899754
random_model_n43,0.48989356
random_model_n44,0.4899628
random_model_n45,0.48994374
random_model_n46,0.4896884
random_model_n47,0.48994792
random_model_n48,0.4898849
random_model_n49,0.48983234
random_model_n50,0.49011102
random_model_n51,0.48989242
random_model_n52,0.48991016
random_model_n53,0.48991016
random_model_n54,0.48988244
random_model_n55,0.48988748
random_model_n56,0.49019065
random_model_n57,0.48969978
random_model_n58,0.48984835
random_model_n59,0.48995215
random_model_n60,0.4900954
random_model_n61,0.48996863
random_model_n62,0.48980042
random_model_n63,0.48988453
random_model_n64,0.49008062
random_model_n65,0.49006552
random_model_n66,0.48971424
random_model_n67,0.48978582
random_model_n68,0.4897618
average_model,0.48290053
optimal_clustering,0.5265892
