,abilities
dbscan_eps_0_1_min_samples_2,0.18510333
dbscan_eps_0_2_min_samples_2,0.4874359
dbscan_eps_0_3_min_samples_2,0.5983953
dbscan_eps_0_4_min_samples_2,0.6541617
dbscan_eps_0_5_min_samples_2,0.68647414
dbscan_eps_0_6_min_samples_2,0.70921284
dbscan_eps_0_7_min_samples_2,0.7222335
dbscan_eps_0_8_min_samples_2,0.73079705
dbscan_eps_0_9_min_samples_2,0.18510333
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.18510333
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.18510333
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.18510333
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.19130546
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.19130546
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.2055224
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.21674794
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.24679333
kmeans_n_clusters_1,0.18510333
kmeans_n_clusters_2,0.48030975
kmeans_n_clusters_3,0.5827423
kmeans_n_clusters_4,0.63939035
kmeans_n_clusters_5,0.67307526
kmeans_n_clusters_6,0.693904
kmeans_n_clusters_7,0.6982921
kmeans_n_clusters_8,0.72296554
mean_shift_,0.18510333
optics_,0.4897589
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.56374514
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.621959
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.65617836
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.69246
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.7086669
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.7248162
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.18510333
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.2629423
random_model_n1,0.79668117
random_model_n2,0.79682106
random_model_n3,0.79680943
random_model_n4,0.7966053
random_model_n5,0.7965315
random_model_n6,0.7968754
random_model_n7,0.7968846
random_model_n8,0.79653084
random_model_n9,0.7967673
random_model_n10,0.7969315
random_model_n11,0.7970477
random_model_n12,0.7965734
random_model_n13,0.79670393
random_model_n14,0.7966873
random_model_n15,0.7967254
random_model_n16,0.7966995
random_model_n17,0.7967895
random_model_n18,0.79670584
random_model_n19,0.79698104
random_model_n20,0.79651624
random_model_n21,0.7967326
random_model_n22,0.7968307
random_model_n23,0.79647875
random_model_n24,0.79692143
random_model_n25,0.79671496
random_model_n26,0.7966986
random_model_n27,0.79690397
random_model_n28,0.7967647
random_model_n29,0.796929
random_model_n30,0.79680705
random_model_n31,0.7966686
random_model_n32,0.79665756
random_model_n33,0.7968638
random_model_n34,0.79646754
random_model_n35,0.79685515
random_model_n36,0.79670095
random_model_n37,0.7966942
random_model_n38,0.7967904
random_model_n39,0.79696393
random_model_n40,0.79673505
random_model_n41,0.7969893
random_model_n42,0.7966939
random_model_n43,0.7967064
random_model_n44,0.7970163
random_model_n45,0.7968087
random_model_n46,0.796566
random_model_n47,0.7966259
random_model_n48,0.79656714
random_model_n49,0.79676634
random_model_n50,0.79674035
random_model_n51,0.7969977
random_model_n52,0.79674435
random_model_n53,0.796855
random_model_n54,0.7963434
random_model_n55,0.79666513
random_model_n56,0.79663324
random_model_n57,0.7969477
random_model_n58,0.7966781
random_model_n59,0.7965244
random_model_n60,0.7965865
random_model_n61,0.79673046
random_model_n62,0.79664683
random_model_n63,0.79683596
random_model_n64,0.7966034
random_model_n65,0.79665023
random_model_n66,0.79692125
random_model_n67,0.7962335
random_model_n68,0.7970713
average_model,0.5312224
optimal_clustering,0.7471929
