,abilities
dbscan_eps_0_1_min_samples_2,0.39335218
dbscan_eps_0_2_min_samples_2,0.48476863
dbscan_eps_0_3_min_samples_2,0.4870475
dbscan_eps_0_4_min_samples_2,0.48605397
dbscan_eps_0_5_min_samples_2,0.48559085
dbscan_eps_0_6_min_samples_2,0.48646024
dbscan_eps_0_7_min_samples_2,0.48112762
dbscan_eps_0_8_min_samples_2,0.475175
dbscan_eps_0_9_min_samples_2,0.46426168
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.49880955
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.49869093
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.49869093
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.49869093
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.39335218
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.39335218
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.39335218
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.39335218
kmeans_n_clusters_1,0.39335218
kmeans_n_clusters_2,0.48916805
kmeans_n_clusters_3,0.48627284
kmeans_n_clusters_4,0.48628208
kmeans_n_clusters_5,0.48492298
kmeans_n_clusters_6,0.48536265
kmeans_n_clusters_7,0.48156556
kmeans_n_clusters_8,0.47745955
mean_shift_,0.39335218
optics_min_samples_7_xi_0_1_min_cluster_size_0_1,0.49869093
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.49526906
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.48991507
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.48997253
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.4895003
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.48402107
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.47689068
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.48748112
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.49869093
random_model_n1,0.42015454
random_model_n2,0.42004114
random_model_n3,0.41998273
random_model_n4,0.42008162
random_model_n5,0.4202642
random_model_n6,0.41997755
random_model_n7,0.42016637
average_model,0.4743043
optimal_clustering,0.5031846
